ItemCode,Description,CategoryDescript,Sum_Qty,StoreCode,Unit_Cost,Value_On_Hand
149553,Yellow stroller with green wheels,,75,RM,255.2300,19142.2500
149554,Orange bicycle,Bicycles,99,RM,509.2312,50413.8888
152669,Silver ball with yellow dots,,177,RM,38.5600,6825.1200
171226,Sport push chair,Chairs and Cushions,19,RM,190.9400,3627.8600
31040,Ultimate chair with wheels,,21,RM,126.8800,2664.4800
311066,Stroller cover - Blue,Chairs and Cushions,179,RM,274.1800,49078.2200
311073,Chair cushion Orange,Chairs and Cushions,50,RM,0.0000,0.0000
6009880532407,YCC- No Sugar Coconut Ice 50g,Vitamins,200,RM,12.3700,2474.0000
608920,Plastic bike with big wheels,Bicycles,68,RM,223.6500,15208.2000
618127,Green chair with brown piping,Chairs and Cushions,10,RM,77.7700,777.7000
639795,High chair cover,Chairs and Cushions,44,RM,247.7300,10900.1200
639801,Multi purpose wipes,,150,RM,78.9600,11844.0000
643044,Green universal cushions,,22,RM,56.7800,1249.1600
AFUL100,6009880532575 - BCAA/EAA Pwd 455g Oran Tang,Vitamins,8,RM,10.0000,80.0000
AFUL120,6009880532582 - BCAA/EAA Pwd 455g Tropic,Vitamins,127,RM,20.0000,2540.0000
AFUL160,6009880532568 - Creatine Pwd 455g,Vitamins,16,RM,50.0000,800.0000
AFUL240,6009880532551 - L-Glutamine Pwd 455g,Vitamins,97,RM,7.0000,679.0000
AFUL452,6009880532995 - Pure Whey Protein 1.82Kg Van Choc Variety,,3,RM,12.0000,36.0000
AORG100,6009880532100 - Virgin Coconut oil 200ml,,90,RM,3.0000,270.0000
BikeKit1,Bike made from Kit,Bicycles,0,RM,735.7100,0.0000
FrameB1,Blue bike frame for kit,Spares and Accessories,15,RM,234.5600,3518.4000
GripB1,Black Grips - Pair,Spares and Accessories,100,RM,45.0000,4500.0000
IBR1800,IBR Sheeting 1800 mm long,,100,RM,58.5600,5856.0000
IBRCoil,IBR Coil 686 wide,Coil Raw Materials,250,RM,40.2300,10057.5000
IBRSPEC,IBR Sheeting - Special Size,,0,RM,0.0000,0.0000
ItemT1,Testing Item 1 for quantities,Bicycles,50,RM,101.0000,5050.0000
ItemT2,Testing Item 2 for quantities,,99,RM,416.3500,41218.6500
ITM3Test,Testing Item 3 for quantities,,88,RM,68.6300,6039.4400
ITM4Test,Item 4 Testing Quantities,,50,RM,1000.0000,50000.0000
ITM5Test,Item 5 Testing Quantities,,88,RM,123.4500,10863.6000
MISC,Miscellaneous - add details,,0,RM,0.0000,0.0000
SeatR,Red Seat,Spares and Accessories,123,RM,56.8900,6997.4700
TR001,Transport,Sponges,0,RM,0.0000,0.0000
WheelS,Silver Wheels,Spares and Accessories,0,RM,99.6300,0.0000
