Document,ItemCode,Category,Trn,Description,Qty,Year_Mth_Week,Due_Date
QOH,2B,POOL,OH,FILTER 2BAG GREY 816,-584.0000,On Hand,02 Mar 2025
QOH,2BH,POOL,OH,FILTER 2BAG HERO CHARCOAL GREY 29708,0.0000,On Hand,02 Mar 2025
QOH,3B,POOL,OH,FILTER 3BAG GREY 816,-1240.0000,On Hand,02 Mar 2025
QOH,3BH,POOL,OH,FILTER 3BAG HERO CHARCOAL GREY 29708,0.0000,On Hand,02 Mar 2025
QOH,4B,POOL,OH,FILTER 4 BAG GREY 816,-305.0000,On Hand,02 Mar 2025
QOH,4BH,POOL,OH,FILTER 4BAG HERO CHARCOAL GREY 29708,0.0000,On Hand,02 Mar 2025
QOH,5B,POOL,OH,FILTER 5 BAG GREY 816,-91.0000,On Hand,02 Mar 2025
QOH,5BH,POOL,OH,FILTER 5BAG HERO CHARCOAL GREY 29708,0.0000,On Hand,02 Mar 2025
QOH,A6LP,CUSTOM,OH,AGRI 600LT TANK RED LOW PRESSURE,-32.0000,On Hand,02 Mar 2025
QOH,ACRAFTDG,CUSTOM,OH,ANGLE CRAFT MEDIUM DARK GREEN,0.0000,On Hand,02 Mar 2025
QOH,ACRAFTLDG,CUSTOM,OH,ANGLE CRAFT LARGE DARK GREEN,0.0000,On Hand,02 Mar 2025
QOH,ACRAFTLG,CUSTOM,OH,ANGLE CRAFT LARGE GREY 816,0.0000,On Hand,02 Mar 2025
QOH,ACRAFTMG,CUSTOM,OH,ANGLE CRAFT MEDIUM GREY 816,0.0000,On Hand,02 Mar 2025
QOH,APAL02,CUSTOM,OH,SQUAT PAN NATURAL,-200.0000,On Hand,02 Mar 2025
QOH,PONDACB,URBAN GARDEN,OH,POND ANGLE COFFEE BROWN,0.0000,On Hand,02 Mar 2025
QOH,APS120BL,CUSTOM,OH,AFRICAN PUMP SOL 120L TANK BLUE,0.0000,On Hand,02 Mar 2025
QOH,APS120BLK,CUSTOM,OH,AFRICAN PUMP SOL 120L TANK BLACK,-58.0000,On Hand,02 Mar 2025
QOH,APS120DG,CUSTOM,OH,AFRICAN PUMP SOL 120L TANK DARK GREEN,-12.0000,On Hand,02 Mar 2025
QOH,APS120O,CUSTOM,OH,AFRICAN PUMP SOL 120L TANK ORANGE,-30.0000,On Hand,02 Mar 2025
QOH,APS120R,CUSTOM,OH,AFRICAN PUMP SOL 120L TANK RED,-32.0000,On Hand,02 Mar 2025
QOH,ARMCOBB,ROAD,OH,ARMCO BOOSTER BOTTLE,-20.0000,On Hand,02 Mar 2025
QOH,BAD,CUSTOM,OH,BADGER TANK 3500L,0.0000,On Hand,02 Mar 2025
QOH,BAD1,CUSTOM,OH,BADGER 1000L DYNAMO FLAT FLAT GREY PIGM,-74.0000,On Hand,02 Mar 2025
