ItemCode,Description,CategoryDescript,Sum_Qty,StoreCode,LotNumber,Unit_Cost,Value_On_Hand
2B,FILTER 2BAG GREY 816,POOL,-584.00,RM,02032025RM1,0.0000,0.000000
2B,FILTER 2BAG GREY 816,POOL,1.00,RM,02032025RM1476,0.0000,0.000000
2BH,FILTER 2BAG HERO CHARCOAL GREY 29708,POOL,0.00,RM,02032025RM2,0.0000,0.000000
3B,FILTER 3BAG GREY 816,POOL,-1240.00,RM,02032025RM3,0.0000,0.000000
3BH,FILTER 3BAG HERO CHARCOAL GREY 29708,POOL,0.00,RM,02032025RM4,0.0000,0.000000
4B,FILTER 4 BAG GREY 816,POOL,-305.00,RM,02032025RM5,0.0000,0.000000
4BB,FILTER 4 BAG BLACK,POOL,-240.00,RM,02032025RM1372,0.0000,0.000000
4BH,FILTER 4BAG HERO CHARCOAL GREY 29708,POOL,0.00,RM,02032025RM6,0.0000,0.000000
5B,FILTER 5 BAG GREY 816,POOL,-91.00,RM,02032025RM7,0.0000,0.000000
5BB,FILTER 5 BAG BLACK,POOL,-35.00,RM,02032025RM1373,0.0000,0.000000
5BH,FILTER 5BAG HERO CHARCOAL GREY 29708,POOL,0.00,RM,02032025RM8,0.0000,0.000000
A6HP,AGRI 600LT TANK RED HIGH PRESSURE,CUSTOM,-118.00,RM,02032025RM1302,0.0000,0.000000
A6LP,AGRI 600LT TANK RED LOW PRESSURE,CUSTOM,-32.00,RM,02032025RM9,0.0000,0.000000
ACDB,ACD H359 NEL BEIGE,RAW MATERIAL,68500.00,RM,02032025RM1209,29.5800,2026230.000000
ACDB916,ACD H359 BEIGE 916,RAW MATERIAL,0.00,RM,02032025RM1210,0.0000,0.000000
ACDBG,ACD H359 BIRCH GREY,RAW MATERIAL,200.00,RM,02032025RM1211,29.6300,5926.000000
ACDBLK,ACD H509 BLACK 20 UV,RAW MATERIAL,183500.00,RM,02032025RM1212,28.7900,5282965.000000
ACDBO,ACD H359 BRONZE OLIVE,RAW MATERIAL,18125.00,RM,02032025RM1213,26.8500,486656.250000
ACDCB,ACD H359 COFFEE BROWN,RAW MATERIAL,66000.00,RM,02032025RM1214,29.4100,1941060.000000
ACDCGR,ACD H359 CHARCOAL GREY 29708,RAW MATERIAL,1000.00,RM,02032025RM1215,30.8300,30830.000000
ACDDGR,ACD H359 DARK GREY 816,RAW MATERIAL,146000.00,RM,02032025RM1216,29.3900,4290940.000000
ACDDRKG,ACD H359 DARK GREEN,RAW MATERIAL,231000.00,RM,02032025RM1217,29.5300,6821430.000000
ACDFOAM,ACD H100 FOAM MATERMIX 10,RAW MATERIAL,3.00,RM,02032025RM1218,4800.0000,14400.000000
ACDFOAMPEL,ACD FOAM PELLET 1-SHOT,RAW MATERIAL,6051.00,RM,02032025RM1244,47.2300,285788.730000
ACDGR,ACD H359 JOHN DEERE GREEN 33403,RAW MATERIAL,2000.00,RM,02032025RM1219,29.0500,58100.000000
ACDHRK,ACD HENRED KHAKI,RAW MATERIAL,700.00,RM,02032025RM1220,29.5800,20706.000000
ACDI,ACD IVORY,RAW MATERIAL,100.00,RM,02032025RM1419,30.9000,3090.000000
ACDLG,ACD H359 LIME GREEN,RAW MATERIAL,250.00,RM,02032025RM1221,30.4000,7600.000000
ACDLGR,ACD H359 LIGHT GREY 817,RAW MATERIAL,2100.00,RM,02032025RM1222,29.1000,61110.000000
ACDMB,ACD H359 MAC BLUE,RAW MATERIAL,29500.00,RM,02032025RM1223,29.3500,865825.000000
ACDMILLING,ACD MILLING,RAW MATERIAL,0.00,RM,,3.7500,0.000000
ACDN,ACD H359 NATURAL UV,RAW MATERIAL,57000.00,RM,02032025RM1225,28.1800,1606260.000000
ACDP32320,ACD DARK GREEN 208 PIGMENT,PIGMENTS,10.00,RM,02032025RM1263,155.6300,1556.300000
ACDPINK,ACD H359 CANCER PINK,RAW MATERIAL,0.00,RM,02032025RM1226,30.2000,0.000000
