ItemCode,Description,CategoryDescript,Sum_Qty,StoreCode,LotNumber,Unit_Cost,Value_On_Hand
BAG03,Uzwelo Fynbos Ghost Shopper,Accessories,60,RM,02032025RM75,133.4900,8009.4000
BOO01,Footprints in the Fynbos,Books,797,RM,02032025RM89,16.6100,13238.1700
BOO02,Voetspore in die Fynbos,Books,2055,RM,02032025RM90,17.2279,35403.3345
BOO03,Imizila yeenyawo kwiFynbos,Books,244,RM,02032025RM91,18.9300,4618.9200
BOO04,Footprints in the Fynbos USB,Books,9,RM,02032025RM92,72.9900,656.9100
BOO05,Against the Odds,Books,38,RM,02032025RM93,0.0000,0.0000
BUFF3,Leeto Tube Scarf,Buffs,26,RM,02032025RM68,47.5000,1235.0000
CAM001,Camp Fees,Education,0,RM,,0.0000,0.0000
CAM012,Consumables,Education,0,RM,,0.0000,0.0000
CAM13,Camera Hire,,-4,RM,,0.0000,0.0000
CAP01,Cap Cotton Stone,Caps,7,RM,02032025RM83,105.0000,735.0000
CAP02,Cap Cotton Olive,Caps,7,RM,02032025RM84,105.0000,735.0000
CAP03,Cap Cotton Black,Caps,12,RM,02032025RM85,102.1800,1226.1600
CAP04,Cap Cotton Charcoal,Caps,0,RM,02032025RM86,81.0000,0.0000
CAP06,Cap Microfibre Black,Caps,0,RM,02032025RM87,75.2200,0.0000
CAP07,Cap Microfibre Charcoal,Caps,0,RM,02032025RM88,75.7900,0.0000
COF001,Banhoek Coffee Beans 250g,,0,RM,02032025RM1,68.1700,0.0000
DEL001,Delivery,,0,RM,,0.0000,0.0000
FAC001,Facilitation EE,Education,0,RM,,0.0000,0.0000
FS224,Kids Socks,Socks,98,RM,02032025RM80,50.0000,4900.0000
KEY01,Bamboo Keytag,Accessories,0,RM,02032025RM73,15.0000,0.0000
KL4,Kiddies T-shirt Leeto 7-8,T-Shirts,2,RM,02032025RM47,122.2800,244.5600
KL5,Kiddies T-shirt Leeto 9-10,T-Shirts,9,RM,02032025RM48,122.2900,1100.6100
KL6,Kiddies T-shirt Leeto 11-12,T-Shirts,7,RM,02032025RM49,122.2900,856.0300
KTLK1,Leopard Kidz T-shirt 9-10yrs,T-Shirts,0,RM,02032025RM31,80.2500,0.0000
KTLK2,Leopard Kidz T-shirt 11-12yrs,T-Shirts,0,RM,02032025RM32,80.2500,0.0000
LFGXL,Ladies Leopard Grey XL T-shirt VB,T-Shirts,0,RM,02032025RM13,145.0000,0.0000
LL1-XS,Ladies T-shirt Leeto XS,T-Shirts,4,RM,02032025RM42,139.9500,559.8000
LL2-S,Ladies T-shirt Leeto S,T-Shirts,7,RM,02032025RM43,139.9500,979.6500
LL3-M,Ladies T-shirt Leeto Medium,T-Shirts,9,RM,02032025RM44,139.9500,1259.5500
LL4-L,Ladies T-shirt Leeto Large,T-Shirts,6,RM,02032025RM45,139.9500,839.7000
LL5-XL,Ladies T-shirt Leeto XL,T-Shirts,3,RM,02032025RM46,139.9600,419.8800
LLBXL,Ladies Logo Black XL T-shirt VB,T-Shirts,3,RM,02032025RM14,145.0000,435.0000
LLGL,Ladies Logo Grey Large T-shirt VB,T-Shirts,4,RM,02032025RM11,152.1400,608.5600
LLGXL,Ladies Logo Grey XL T-shirt VB,T-Shirts,7,RM,02032025RM12,149.2900,1045.0300
LLSB08,Ladies Long Sleeve Black 8,T-Shirts,3,RM,02032025RM4,94.5000,283.5000
LLSB10,Ladies Long Sleeve Black 10,T-Shirts,2,RM,02032025RM3,94.5000,189.0000
LLSG1,Ladies Long Sleeve Grey XS - PN,T-Shirts,5,RM,02032025RM24,125.0300,625.1500
LLSG2,Ladies Long Sleeve Grey Small - PN,T-Shirts,6,RM,02032025RM25,125.0300,750.1800
LLSG3,Ladies Long Sleeve Grey Medium - PN,T-Shirts,0,RM,02032025RM26,125.0300,0.0000
LLSG4,Ladies Long Sleeve Grey Large - PN,T-Shirts,9,RM,02032025RM27,125.0300,1125.2700
