Document,ItemCode,Category,Trn,Description,Qty,Year_Mth_Week,Due_Date
QOH,643044,,OH,Green universal cushions,162.0000,0n Hand,12 Mar 2025
QOH,639795,Chairs and Cushions,OH,High chair cover,61.0000,0n Hand,12 Mar 2025
QOH,639801,,OH,Multi purpose wipes,150.0000,0n Hand,12 Mar 2025
QOH,149554,Bicycles,OH,Orange bicycle,127.0000,0n Hand,12 Mar 2025
QOH,149553,,OH,Yellow stroller with green wheels,75.0000,0n Hand,12 Mar 2025
QOH,311066,Chairs and Cushions,OH,Stroller cover - Blue,179.0000,0n Hand,12 Mar 2025
QOH,311073,Chairs and Cushions,OH,Chair cushion Orange,50.0000,0n Hand,12 Mar 2025
QOH,618127,Chairs and Cushions,OH,Green chair with brown piping,10.0000,0n Hand,12 Mar 2025
QOH,31040,,OH,Ultimate chair with wheels,21.0000,0n Hand,12 Mar 2025
QOH,608920,Bicycles,OH,Plastic bike with big wheels,68.0000,0n Hand,12 Mar 2025
QOH,152669,,OH,Silver ball with yellow dots,177.0000,0n Hand,12 Mar 2025
QOH,171226,Chairs and Cushions,OH,Sport push chair,24.0000,0n Hand,12 Mar 2025
QOH,6009880532407,Vitamins,OH,YCC- No Sugar Coconut Ice 50g,200.0000,0n Hand,12 Mar 2025
QOH,AFUL160,Vitamins,OH,6009880532568 - Creatine Pwd 455g,16.0000,0n Hand,12 Mar 2025
QOH,AFUL240,Vitamins,OH,6009880532551 - L-Glutamine Pwd 455g,102.0000,0n Hand,12 Mar 2025
QOH,AFUL452,,OH,6009880532995 - Pure Whey Protein 1.82Kg Van Choc Variety,3.0000,0n Hand,12 Mar 2025
QOH,AORG100,,OH,6009880532100 - Virgin Coconut oil 200ml,90.0000,0n Hand,12 Mar 2025
QOH,ItemT1,Bicycles,OH,Testing Item 1 for quantities,220.0000,0n Hand,12 Mar 2025
QOH,ItemT2,,OH,Testing Item 2 for quantities,99.0000,0n Hand,12 Mar 2025
QOH,ITM3Test,,OH,Testing Item 3 for quantities,88.0000,0n Hand,12 Mar 2025
QOH,ITM4Test,,OH,Item 4 Testing Quantities,225.0000,0n Hand,12 Mar 2025
QOH,ITM5Test,,OH,Item 5 Testing Quantities,788.0000,0n Hand,12 Mar 2025
QOH,SeatR,Spares and Accessories,OH,Red Seat,123.0000,0n Hand,12 Mar 2025
QOH,GripB1,Spares and Accessories,OH,Black Grips - Pair,100.0000,0n Hand,12 Mar 2025
QOH,FrameB1,Spares and Accessories,OH,Blue bike frame for kit,15.0000,0n Hand,12 Mar 2025
QOH,BikeKit1,Bicycles,OH,Bike made from Kit,0.0000,0n Hand,12 Mar 2025
QOH,IBR1800,,OH,IBR Sheeting 1800 mm long,100.0000,0n Hand,12 Mar 2025
QOH,IBRSPEC,,OH,IBR Sheeting - Special Size,0.0000,0n Hand,12 Mar 2025
MIN,643044,,Min,Green universal cushions,-6.0000,Min Level,12 Mar 2025
MIN,639795,Chairs and Cushions,Min,High chair cover,-4.0000,Min Level,12 Mar 2025
MIN,639801,,Min,Multi purpose wipes,-11.0000,Min Level,12 Mar 2025
MIN,149554,Bicycles,Min,Orange bicycle,-12.0000,Min Level,12 Mar 2025
