ItemCode,Description,CategoryDescript,Sum_Qty,StoreCode,LotNumber,Unit_Cost,Value_On_Hand
149553,Yellow stroller with green wheels,,-1.000,FG,,255.2300,-255.2300000
149553,Yellow stroller with green wheels,,2.000,FG,21012025FG9,235.0000,470.0000000
149553,Yellow stroller with green wheels,,49.000,FG,22102024RM8,255.2300,12506.2700000
149553,Yellow stroller with green wheels,,24.000,RM,22102024RM8,255.2300,6125.5200000
149554,Orange bicycle,Bicycles,1.000,RM,,509.2312,509.2312000
149554,Orange bicycle,Bicycles,25.000,RM,03022025RM3,123.4500,3086.2500000
149554,Orange bicycle,Bicycles,23.000,RM,22102024RM7,123.4500,2839.3500000
152669,Silver ball with yellow dots,,152.000,RM,22102024RM14,40.7900,6200.0800000
171226,Sport push chair,Chairs and Cushions,-1.000,FG,,190.9400,-190.9400000
171226,Sport push chair,Chairs and Cushions,7.000,FG,22102024RM15,190.9400,1336.5800000
171226,Sport push chair,Chairs and Cushions,12.000,RM,22102024RM15,190.9400,2291.2800000
31040,Ultimate chair with wheels,,21.000,RM,22102024RM12,126.8800,2664.4800000
311066,Stroller cover - Blue,Chairs and Cushions,179.000,RM,22102024RM9,274.1800,49078.2200000
311073,Chair cushion Orange,Chairs and Cushions,50.000,RM,22102024RM10,0.0000,0.0000000
6009880532407,YCC- No Sugar Coconut Ice 50g,Vitamins,200.000,RM,22102024RM16,12.3700,2474.0000000
608920,Plastic bike with big wheels,Bicycles,68.000,RM,22102024RM13,223.6500,15208.2000000
618127,Green chair with brown piping,Chairs and Cushions,10.000,RM,22102024RM11,77.7700,777.7000000
639795,High chair cover,Chairs and Cushions,3.000,FG,,225.0000,675.0000000
639795,High chair cover,Chairs and Cushions,-1.000,FG,,225.0000,-225.0000000
639795,High chair cover,Chairs and Cushions,9.000,FG,22102024RM5,262.0400,2358.3600000
639795,High chair cover,Chairs and Cushions,14.000,RM,,225.0000,3150.0000000
639795,High chair cover,Chairs and Cushions,15.000,RM,22102024RM5,262.0400,3930.6000000
639801,Multi purpose wipes,,77.000,FG,22102024RM6,78.9600,6079.9200000
639801,Multi purpose wipes,,73.000,RM,22102024RM6,78.9600,5764.0800000
643044,Green universal cushions,,5.000,FG,22102024RM4,56.7800,283.9000000
643044,Green universal cushions,,5.000,RM,22102024RM4,56.7800,283.9000000
643044,Green universal cushions,,12.000,WIP,22102024RM4,56.7800,681.3600000
AFUL100,6009880532575 - BCAA/EAA Pwd 455g Oran Tang,Vitamins,8.000,RM,22102024RM17,10.0000,80.0000000
AFUL120,6009880532582 - BCAA/EAA Pwd 455g Tropic,Vitamins,127.000,RM,22102024RM18,20.0000,2540.0000000
AFUL160,6009880532568 - Creatine Pwd 455g,Vitamins,16.000,RM,22102024RM19,50.0000,800.0000000
AFUL240,6009880532551 - L-Glutamine Pwd 455g,Vitamins,97.000,RM,22102024RM20,7.0000,679.0000000
AFUL452,6009880532995 - Pure Whey Protein 1.82Kg Van Choc Variety,,3.000,RM,22102024RM21,12.0000,36.0000000
AORG100,6009880532100 - Virgin Coconut oil 200ml,,90.000,RM,22102024RM22,3.0000,270.0000000
FrameB1,Blue bike frame for kit,Spares and Accessories,8.000,RM,03122024RM3,234.5600,1876.4800000
FrameB1,Blue bike frame for kit,Spares and Accessories,7.000,WIP,03122024RM3,234.5600,1641.9200000
GripB1,Black Grips - Pair,Spares and Accessories,50.000,RM,03122024RM2,45.0000,2250.0000000
GripB1,Black Grips - Pair,Spares and Accessories,50.000,WIP,03122024RM2,45.0000,2250.0000000
ItemT1,Testing Item 1 for quantities,Bicycles,30.000,RM,03022025RM4,30.0000,900.0000000
ItemT1,Testing Item 1 for quantities,Bicycles,50.000,RM,03022025RM5,30.0000,1500.0000000
ItemT1,Testing Item 1 for quantities,Bicycles,50.000,RM,22102024RM23,101.0000,5050.0000000
ItemT2,Testing Item 2 for quantities,,99.000,RM,22102024RM24,416.3500,41218.6500000
ITM3Test,Testing Item 3 for quantities,,88.000,RM,22102024RM25,68.6300,6039.4400000
ITM4Test,Item 4 Testing Quantities,,25.000,RM,03022025RM6,1000.0000,25000.0000000
ITM4Test,Item 4 Testing Quantities,,50.000,RM,22102024RM26,1000.0000,50000.0000000
ITM5Test,Item 5 Testing Quantities,,88.000,RM,22102024RM27,123.4500,10863.6000000
SeatR,Red Seat,Spares and Accessories,123.000,RM,03122024RM1,56.8900,6997.4700000
WheelS,Silver Wheels,Spares and Accessories,0.000,CON,,99.6300,0.0000000
