Document,ItemCode,Category,Trn,Description,Qty,Year_Mth_Week,Due_Date
QOH,AZPNTG20A06LM,Conventional Labelled Red Wine,OH,AZANIA PINOTAGE 2020,17.0000,On Hand,01 Aug 2025
QOH,AZPNTG20A06EX,Conventional Labelled Red Wine,OH,AZANIA PINOTAGE 2020,318.0000,On Hand,01 Aug 2025
QOH,AZSHIRAZ21A06KL,Conventional Labelled Red Wine,OH,AZANIA SHIRAZ 2021,696.0000,On Hand,01 Aug 2025
QOH,BEECABS21B06KL,Organic Red Wine,OH,BEECONSCIOUS CABERNET SAUV 2021,27.0000,On Hand,01 Aug 2025
QOH,BEECHBL24B06KUS,Organic White Wine,OH,BEECONSCIOUS CHENIN BLANC 2024,88.0000,On Hand,01 Aug 2025
QOH,BEECMS20B06KUSL,Organic Red Wine,OH,BEECONSCIOUS REDBLEND ORG. 2020,6.0000,On Hand,01 Aug 2025
QOH,BEECMS21B06KFRA,Organic Red Wine,OH,BEECONSCIOUS REDBLEND ORG. 2021,12.0000,On Hand,01 Aug 2025
QOH,BEECMS23B06KLFE,Organic Red Wine,OH,BEECONSCIOUS REDBLEND ORG. 2023,109.0000,On Hand,01 Aug 2025
QOH,BEEPNTG24B06KUS,Organic Red Wine,OH,BEECONSCIOUS PINOTAGE 2024,77.0000,On Hand,01 Aug 2025
QOH,BEEROSE23B06KL,Organic Rose Wine,OH,BEECONSCIOUS ORGANIC ROSE 2023,2.0000,On Hand,01 Aug 2025
QOH,BEESAUBL22B06KL,Organic White Wine,OH,BEECONSCIOUS SAUVIGNON BLANC 2022,11.0000,On Hand,01 Aug 2025
QOH,BEESAUSEM21B6KL,Organic White Wine,OH,BEECONSCIOUS WHITEBLEND ORG. 2021,13.0000,On Hand,01 Aug 2025
QOH,BEESAUSEM22B6KE,Organic White Wine,OH,BEECONSCIOUS WHITEBLEND ORG. 2022,20.0000,On Hand,01 Aug 2025
QOH,BEESAUSEM23B6KE,Organic White Wine,OH,BEECONSCIOUS WHITEBLEND ORG. 2023,6.0000,On Hand,01 Aug 2025
QOH,BEESBSEM24B06KC,Organic White Wine,OH,BEECONSCIOUS SAUVIGNON / SEMILLON 2024,0.0000,On Hand,01 Aug 2025
QOH,BEESBSEM24B06KE,Organic White Wine,OH,BEECONSCIOUS SAUVIGNON / SEMILLON,23.0000,On Hand,01 Aug 2025
QOH,BEESBSEM24B06KU,Organic White Wine,OH,BEECONSCIOUS SAUVIGNON / SEMILLON,89.0000,On Hand,01 Aug 2025
QOH,BOTTLE001,Bottles,OH,BN728 DG BURGUNDY,392.0000,On Hand,01 Aug 2025
QOH,BOTTLE002,Bottles,OH,BN728 DEADLEAF GREEN BURGUNDY,196.0000,On Hand,01 Aug 2025
QOH,BULKCABERNE25BD,Organic Bulk Wine,OH,CABERNET SAUVIGNON ORGANIC 2025 (DV),4600.0000,On Hand,01 Aug 2025
QOH,BULKCABERNET21B,Organic Bulk Wine,OH,ORGANIC CABERNET SAUVIGNON 2021,4250.0000,On Hand,01 Aug 2025
QOH,BULKWINE001,Conventional Bulk Wine,OH,CAPE BLEND 2023 BULKWINE,5470.0000,On Hand,01 Aug 2025
QOH,BULKCHARDON25BW,Organic Bulk Wine,OH,CHARDONNAY ORGANIC WELLINGTON 2025,900.0000,On Hand,01 Aug 2025
QOH,BULKCHENIN25BD,Organic Bulk Wine,OH,CHENIN BLANC ORGANIC DURBANVILLE 2025,7500.0000,On Hand,01 Aug 2025
QOH,BULKCHENIN25BW,Organic Bulk Wine,OH,CHENIN BLANC ORGANIC WELLINGTON 2025,1716.0000,On Hand,01 Aug 2025
QOH,BULKGRENACH25BS,Organic Bulk Wine,OH,GRENACHE ORGANIC NATIVO 2025,3000.0000,On Hand,01 Aug 2025
QOH,BULKMERLOT25BD,Organic Bulk Wine,OH,MERLOT ORGANIC DURBANVILLE 2025,3100.0000,On Hand,01 Aug 2025
QOH,BULKMOURVEDR24B,Organic Bulk Wine,OH,MOURVEDRE ORGANIC 2024 WELLINGTON,675.0000,On Hand,01 Aug 2025
QOH,BULKPINOTAG25BD,Organic Bulk Wine,OH,PINOTAGE ORGANIC DURBANVILLE 2025,7950.0000,On Hand,01 Aug 2025
QOH,BULKPINOTAG25BS,Organic Bulk Wine,OH,PINOTAGE ORGANIC NATIVO 2025,2500.0000,On Hand,01 Aug 2025
QOH,BULKSHIRAZ24BW,Organic Bulk Wine,OH,SHIRAZ ORGANIC 2024 WELLINGTON,2025.0000,On Hand,01 Aug 2025
QOH,BULKSHIRAZ25BS,Organic Bulk Wine,OH,SHIRAZ ORGANIC NATIVO 2025,3050.0000,On Hand,01 Aug 2025
QOH,BULKSHIRAZ25BW,Organic Bulk Wine,OH,SHIRAZ ORGANIC WELLINGTON 2025,1200.0000,On Hand,01 Aug 2025
QOH,BULKVIOGNIE24BW,Organic Bulk Wine,OH,VIOGNIER ORGANIC 2024 WELLINGTON,300.0000,On Hand,01 Aug 2025
QOH,BULKVIOGNIE25BS,Organic Bulk Wine,OH,VIOGNIER ORGANIC NATIVO 2025,3050.0000,On Hand,01 Aug 2025
QOH,CAPS-BLACK,Capsules,OH,POLYLAMINATED PLAIN BLACK MATT,646.0000,On Hand,01 Aug 2025
QOH,CAPS-SONOP-BLK,Capsules,OH,SONOP PRINTED POLYLAM CAPSULES,8538.0000,On Hand,01 Aug 2025
