ItemCode,Description,CategoryDescript,Sum_Qty,StoreCode,LotNumber,Unit_Cost,Value_On_Hand,TextUserField1,TextUserField2,TextUserField3,NumericUserField1,NumericUserField2,NumericUserField3
149553,Yellow stroller with green wheels,,11,FG,11032025RM3,255.2300,2807.5300,,,9.5,30.00,40.00,50.00
149553,Yellow stroller with green wheels,,63,RM,11032025RM3,255.2300,16079.4900,,,9.5,30.00,40.00,50.00
149554,Orange bicycle,Bicycles,6,FG,14032025FG4,424.1700,2545.0200,,,11.1,50.00,60.00,70.00
149554,Orange bicycle,Bicycles,124,RM,11032025RM14,424.1700,52597.0800,,,11.1,50.00,60.00,70.00
152669,Silver ball with yellow dots,,177,RM,11032025RM5,38.5600,6825.1200,,,3.5,20.00,25.00,30.00
171226,Sport push chair,Chairs and Cushions,3,FG,14032025RM3,125.4500,376.3500,,,7,40.00,30.00,20.00
171226,Sport push chair,Chairs and Cushions,24,RM,11032025RM22,190.9400,4582.5600,,,7,40.00,30.00,20.00
171226,Sport push chair,Chairs and Cushions,-2,RM,14032025RM3,125.4500,-250.9000,,,7,40.00,30.00,20.00
31040,Ultimate chair with wheels,,21,RM,11032025RM4,126.8800,2664.4800,,,15,40.00,50.00,60.00
311066,Stroller cover - Blue,Chairs and Cushions,179,RM,11032025RM19,274.1800,49078.2200,,,3,15.00,30.00,5.00
311073,Chair cushion Orange,Chairs and Cushions,50,RM,11032025RM20,0.0000,0.0000,,,5.5,25.00,30.00,35.00
311073,Chair cushion Orange,Chairs and Cushions,20,RM,14032025RM6,105.2300,2104.6000,,,5.5,25.00,30.00,35.00
6009880532407,YCC- No Sugar Coconut Ice 50g,Vitamins,200,RM,11032025RM23,12.3700,2474.0000,195818,,,0.00,0.00,0.00
608920,Plastic bike with big wheels,Bicycles,68,RM,11032025RM15,223.6500,15208.2000,,,20,40.00,20.00,60.00
618127,Green chair with brown piping,Chairs and Cushions,10,RM,11032025RM21,77.7700,777.7000,,,4,50.00,60.00,70.00
618127,Green chair with brown piping,Chairs and Cushions,20,RM,14032025RM7,600.0000,12000.0000,,,4,50.00,60.00,70.00
639795,High chair cover,Chairs and Cushions,56,RM,11032025RM18,241.4000,13518.4000,,,1,10.00,25.00,10.00
639795,High chair cover,Chairs and Cushions,4,WIP,11032025RM18,241.4000,965.6000,,,1,10.00,25.00,10.00
639801,Multi purpose wipes,,150,RM,11032025RM2,78.9600,11844.0000,,,2.5,10.00,20.00,10.00
643044,Green universal cushions,,162,RM,11032025RM1,108.0100,17497.6200,,,1,10.00,15.00,20.00
643044,Green universal cushions,,20,RM,14032025RM2,100.0000,2000.0000,,,1,10.00,15.00,20.00
AFUL100,6009880532575 - BCAA/EAA Pwd 455g Oran Tang,Vitamins,8,RM,11032025RM24,10.0000,80.0000,,,,0.00,0.00,0.00
AFUL120,6009880532582 - BCAA/EAA Pwd 455g Tropic,Vitamins,127,RM,11032025RM25,20.0000,2540.0000,,,,0.00,0.00,0.00
AFUL160,6009880532568 - Creatine Pwd 455g,Vitamins,16,RM,11032025RM26,50.0000,800.0000,,,,0.00,0.00,0.00
AFUL240,6009880532551 - L-Glutamine Pwd 455g,Vitamins,102,RM,11032025RM27,6.8755,701.3010,,,,0.00,0.00,0.00
AFUL452,6009880532995 - Pure Whey Protein 1.82Kg Van Choc Variety,,3,RM,11032025RM6,12.0000,36.0000,,,,0.00,0.00,0.00
AORG100,6009880532100 - Virgin Coconut oil 200ml,,90,RM,11032025RM7,3.0000,270.0000,,,,0.00,0.00,0.00
BikeKit1,Bike made from Kit,Bicycles,0,RM,11032025RM17,735.7100,0.0000,,,,0.00,0.00,0.00
FrameB1,Blue bike frame for kit,Spares and Accessories,15,RM,11032025RM31,234.5600,3518.4000,,,,0.00,0.00,0.00
GripB1,Black Grips - Pair,Spares and Accessories,100,RM,11032025RM30,45.0000,4500.0000,,,,0.00,0.00,0.00
IBR1800,IBR Sheeting 1800 mm long,,100,RM,11032025RM12,58.5600,5856.0000,,,,0.00,0.00,0.00
IBRCoil,IBR Coil 686 wide,Coil Raw Materials,250,RM,11032025RM32,40.2300,10057.5000,,,,0.00,0.00,0.00
IBRSPEC,IBR Sheeting - Special Size,,100,RM,17032025RM1,234.5600,23456.0000,,,,0.00,0.00,0.00
ItemT1,Testing Item 1 for quantities,Bicycles,220,RM,11032025RM16,46.1400,10150.8000,,,,0.00,0.00,0.00
ItemT2,Testing Item 2 for quantities,,99,RM,11032025RM8,416.3500,41218.6500,,,,0.00,0.00,0.00
ITM3Test,Testing Item 3 for quantities,,88,RM,11032025RM9,68.6300,6039.4400,,,,0.00,0.00,0.00
ITM4Test,Item 4 Testing Quantities,,225,RM,11032025RM10,1000.0000,225000.0000,,,,0.00,0.00,0.00
ITM5Test,Item 5 Testing Quantities,,788,RM,11032025RM11,250.0000,197000.0000,,,,0.00,0.00,0.00
MISC,Miscellaneous - add details,,0,RM,,0.0000,0.0000,,,,0.00,0.00,0.00
SeatR,Red Seat,Spares and Accessories,123,RM,11032025RM28,56.8900,6997.4700,,,,0.00,0.00,0.00
TR001,Transport,Sponges,0,RM,,0.0000,0.0000,,,,0.00,0.00,0.00
WheelS,Silver Wheels,Spares and Accessories,0,RM,11032025RM29,99.6300,0.0000,,,,0.00,0.00,0.00
