Document,ItemCode,Category,Trn,Description,Qty,Year_Mth_Week,Due_Date
QOH,0042800,Gas Water Heaters _AND_ Access,OH,Bosch Spares,0.0000,On Hand,06 Oct 2025
QOH,1BCARTS,Stove _AND_ Hobs,OH,1 Burner Cartridge Stove,7.0000,On Hand,06 Oct 2025
QOH,1BCARTSAF,Canister Gas Products,OH,1 Burner Portable Stove - Canister,2.0000,On Hand,06 Oct 2025
QOH,2BCARTS,BLOCKED,OH,2 Burner Cartridge Stove,1.0000,On Hand,06 Oct 2025
QOH,2BWEMCAP,Stove _AND_ Hobs,OH,Cap for 2 Burner Enamel Stove,9.0000,On Hand,06 Oct 2025
QOH,2BWEN,Stove _AND_ Hobs,OH,2 Burner Enamel Stove White,9.0000,On Hand,06 Oct 2025
QOH,2BWENB,Stove _AND_ Hobs,OH,2 Burner Enamel Stove - Black,11.0000,On Hand,06 Oct 2025
QOH,2BWENL,BLOCKED,OH,2 Burner White enamel with lid,0.0000,On Hand,06 Oct 2025
QOH,3/8MHANDWHEEL,BLOCKED,OH,3/8inch M BSP Handwheel,0.0000,On Hand,06 Oct 2025
QOH,3AB025,BLOCKED,OH,25mm Burner,0.0000,On Hand,06 Oct 2025
QOH,3AB029,BLOCKED,OH,29mm Burner,0.0000,On Hand,06 Oct 2025
QOH,3AB042,BLOCKED,OH,42mm Burner,0.0000,On Hand,06 Oct 2025
QOH,3AHAN1,BLOCKED,OH,Single Handle,0.0000,On Hand,06 Oct 2025
QOH,3ANT180,BLOCKED,OH,180mm Neck Tube,0.0000,On Hand,06 Oct 2025
QOH,3ATHD,BLOCKED,OH,Double 3 Arrow Torch Handle,0.0000,On Hand,06 Oct 2025
QOH,3BWEM,BLOCKED,OH,3 Plate White Enamel Stove,0.0000,On Hand,06 Oct 2025
QOH,4BWENL,BLOCKED,OH,4 Burner White Enamel with Lid,0.0000,On Hand,06 Oct 2025
QOH,5/8LHTHANDWHEEL,BLOCKED,OH,Bullnose 5/8inch LHT Handwheel,0.0000,On Hand,06 Oct 2025
QOH,5X5MANT,BLOCKED,OH,Tee piece fittings for Manifold,0.0000,On Hand,06 Oct 2025
QOH,8704401307,Gas Water Heaters _AND_ Access,OH,BOSCH - Flue Cables WRD Range,0.0000,On Hand,06 Oct 2025
QOH,87044040330,Gas Water Heaters _AND_ Access,OH,BOSCH - WR Set of Cables Ignition Batt,0.0000,On Hand,06 Oct 2025
QOH,87044040350,Gas Water Heaters _AND_ Access,OH,BOSCH spares - WR Hydro Ignition Lead,0.0000,On Hand,06 Oct 2025
QOH,87070119220,Gas Water Heaters _AND_ Access,OH,Bosch Spares - WR 14litre Gas Valve LPG,0.0000,On Hand,06 Oct 2025
QOH,87070119620,Gas Water Heaters _AND_ Access,OH,Bosch Spares - WR 18L Gas Valve LPG,0.0000,On Hand,06 Oct 2025
QOH,87072062040,Gas Water Heaters _AND_ Access,OH,BOSCH - Overheat Sensor for Flue,0.0000,On Hand,06 Oct 2025
QOH,87072062820,Gas Water Heaters _AND_ Access,OH,BOSCH - WR Flue Gas Safety Cables,0.0000,On Hand,06 Oct 2025
QOH,87072071420,Gas Water Heaters _AND_ Access,OH,Bosch Spares - WR Hydro Ignition Unit,0.0000,On Hand,06 Oct 2025
QOH,87074060950,Gas Water Heaters _AND_ Access,OH,Bosch Spares - WR Hydro Generator,0.0000,On Hand,06 Oct 2025
QOH,87081056550,Gas Water Heaters _AND_ Access,OH,BOSCH spares - WR Pilot Burner (Bracket),0.0000,On Hand,06 Oct 2025
QOH,87081070130,Gas Water Heaters _AND_ Access,OH,BOSCH spares- WR Battery Sparking Plug,0.0000,On Hand,06 Oct 2025
QOH,8738710119,Gas Water Heaters _AND_ Access,OH,Bosch Spares - WRD 18l Water Valve Oval,0.0000,On Hand,06 Oct 2025
QOH,8738710124,Gas Water Heaters _AND_ Access,OH,Bosch Spares - WRD 14l Water Valve Oval,0.0000,On Hand,06 Oct 2025
QOH,8738715173,Gas Water Heaters _AND_ Access,OH,BOSCH - Temperature Sensor WRD Range,0.0000,On Hand,06 Oct 2025
QOH,8738717425,Gas Water Heaters _AND_ Access,OH,Bosch Spares - Optiflo Elec Control Unit,0.0000,On Hand,06 Oct 2025
QOH,A10LGGLED,BLOCKED,OH,10lt Gas Water Heater (Atlas),0.0000,On Hand,06 Oct 2025
QOH,A12FGLED,BLOCKED,OH,12lt Forced Water Heater(No longer),0.0000,On Hand,06 Oct 2025
QOH,A12LGGLED,BLOCKED,OH,12lt Water Heater N/S,0.0000,On Hand,06 Oct 2025
QOH,A16LGGCON,BLOCKED,OH,16lt Water Heater Constant Temp,0.0000,On Hand,06 Oct 2025
QOH,A16LGGLED,BLOCKED,OH,16lt Water Heater (Atlas),0.0000,On Hand,06 Oct 2025
QOH,A200MAN,Boiling Table/Burners,OH,Double Cast Iron Boiling Table Manifold,3.0000,On Hand,06 Oct 2025
QOH,A20FGLED,BLOCKED,OH,20lt Fan Forced Water Heater N/S,0.0000,On Hand,06 Oct 2025
QOH,A20LGGLED,BLOCKED,OH,20lt Water Heater (Atlas),0.0000,On Hand,06 Oct 2025
QOH,A28FGLED,BLOCKED,OH,28litre Fan Forced Water (No Longer),0.0000,On Hand,06 Oct 2025
QOH,A2BBL,BLOCKED,OH,2 Burner Gas Stove - Black (Powder),1.0000,On Hand,06 Oct 2025
QOH,A2BHOB,BLOCKED,OH,Stainless 2 Burner Hob PLS Cast Iron Trive,0.0000,On Hand,06 Oct 2025
QOH,A2BSS,BLOCKED,OH,2 Burner S/S Stove Incl Reg PLS Hose AFA,0.0000,On Hand,06 Oct 2025
QOH,A300MAN,Boiling Table/Burners,OH,Triple Boiling Table Manifold,8.0000,On Hand,06 Oct 2025
QOH,A4BGSO,BLOCKED,OH,4 Plate Stove Incl Gas Oven White JAGAND,0.0000,On Hand,06 Oct 2025
QOH,A4BHOB,BLOCKED,OH,4 Burner S/S Hob PLS Cast Iron Trivets Bat,0.0000,On Hand,06 Oct 2025
QOH,A5BHOB,BLOCKED,OH,5 Burner S/S Hob PLS Cast Iron Trivets,0.0000,On Hand,06 Oct 2025
QOH,A5LGGLED,BLOCKED,OH,5.5lt Water Heater (NO longer),0.0000,On Hand,06 Oct 2025
QOH,A5PLGGLED,BLOCKED,OH,5lt Camping Water Heater outdoor,0.0000,On Hand,06 Oct 2025
QOH,A6BGSO,BLOCKED,OH,6 Plate White Stove Incl Gas Oven,0.0000,On Hand,06 Oct 2025
QOH,A6LGGLED,BLOCKED,OH,6lt Gas Water Heater (Atlas),0.0000,On Hand,06 Oct 2025
QOH,A8LGGLED,BLOCKED,OH,8lt Gas Water Heater N/S,0.0000,On Hand,06 Oct 2025
QOH,AB4BGSO,BLOCKED,OH,4 Plate Gas Stove Incl Gas Oven,0.0000,On Hand,06 Oct 2025
QOH,AF608,BLOCKED,OH,3/8inch Male to 13mm Hosetail,0.0000,On Hand,06 Oct 2025
QOH,AFF110,Gas Water Heaters _AND_ Access,OH,110mm Flexible Flue Pipe,2.0000,On Hand,06 Oct 2025
QOH,AFF110/1600,Gas Water Heaters _AND_ Access,OH,110 Flexi Flue 1600mm,12.0000,On Hand,06 Oct 2025
QOH,AFF130,Gas Water Heaters _AND_ Access,OH,130mm Flexi Flue Pipe,7.0000,On Hand,06 Oct 2025
QOH,AFF130/1600,Gas Water Heaters _AND_ Access,OH,130 Flexi Flue 1600mm,9.0000,On Hand,06 Oct 2025
QOH,AFF90,Gas Water Heaters _AND_ Access,OH,90mm Flexible Flue,8.0000,On Hand,06 Oct 2025
QOH,AFWDATL,BLOCKED,OH,Floor Standing Water Dispenser,0.0000,On Hand,06 Oct 2025
QOH,AGAPISOVEN,BLOCKED,OH,Gas Pizza Oven,0.0000,On Hand,06 Oct 2025
QOH,AGASOVEN,BLOCKED,OH,Gas Oven Full Safety Features PLS Grill,0.0000,On Hand,06 Oct 2025
QOH,AGCO30,BLOCKED,OH,GAS CANISTER OVEN 30 L,0.0000,On Hand,06 Oct 2025
QOH,AL1BSSA,BLOCKED,OH,1 Burner Stainless Steel Auto,0.0000,On Hand,06 Oct 2025
QOH,AL2BGSA,BLOCKED,OH,2 Burner Black Glass Top,0.0000,On Hand,06 Oct 2025
QOH,AL2BHP,BLOCKED,OH,2 Burner High Pressure Gas Stove,0.0000,On Hand,06 Oct 2025
QOH,AL2BSSA,Stove _AND_ Hobs,OH,2 Burner Auto Stainless Steel Auto ONLY,0.0000,On Hand,06 Oct 2025
QOH,AL2BSSF,BLOCKED,OH,Alva 2 Burner S/Steel Incl Reg PLS Hose,0.0000,On Hand,06 Oct 2025
QOH,AL3BTS,Braais _AND_ Products,OH,3 Piece S/S BBQ Tool Set Alva,1.0000,On Hand,06 Oct 2025
QOH,ALAMAC,Braais _AND_ Products,OH,Alva Amacooka Stand,0.0000,On Hand,06 Oct 2025
QOH,ALCCCC,Canister Gas Products,OH,Alva BBQ Canister Cooker with Carry Case,0.0000,On Hand,06 Oct 2025
QOH,ALCGKS,Kitchenware,OH,Casa Genoa 5pc Knife Set,3.0000,On Hand,06 Oct 2025
QOH,ALCNSKS,Kitchenware,OH,Casa Napoli 2Pc Santoku Knife Set,1.0000,On Hand,06 Oct 2025
QOH,ALCRH,BLOCKED,OH,Dust Cover for 3 Panel Heater,0.0000,On Hand,06 Oct 2025
QOH,ALCTKSFS,Kitchenware,OH,Casa Treviso 4pc Kitchen Set,1.0000,On Hand,06 Oct 2025
QOH,ALDP,BLOCKED,OH,Alluminium Dixie Pan - Set of 2,0.0000,On Hand,06 Oct 2025
QOH,ALEBST,Kitchenware,OH,Single Tie-Down Electric Blanket Alva 75,2.0000,On Hand,06 Oct 2025
QOH,ALGPO,Stove _AND_ Hobs,OH,Gas Pizza Oven - Alva,0.0000,On Hand,06 Oct 2025
QOH,ALGW205,Gas Water Heaters _AND_ Access,OH,Mini Portable Gas Water Heater,0.0000,On Hand,06 Oct 2025
QOH,ALHTW,Braais _AND_ Products,OH,3 Burner Hotwheel in HD Bag,0.0000,On Hand,06 Oct 2025
QOH,ALTCCR106,Canister Gas Products,OH,Canister Blow Torch,5.0000,On Hand,06 Oct 2025
QOH,ALVWPO,BLOCKED,OH,Alva Wok Pan Only NO STOCK,0.0000,On Hand,06 Oct 2025
QOH,ASATB40,Solar Mounting Solutions,OH,40mm Solar Anti Theft Bracket,0.0000,On Hand,06 Oct 2025
QOH,AUTOSP003,Stove _AND_ Hobs,OH,Auto Brass Simmer Cap,4.0000,On Hand,06 Oct 2025
QOH,AUTOSP012,Stove _AND_ Hobs,OH,2 Burner S/S Stove - Spare Burner,0.0000,On Hand,06 Oct 2025
QOH,AVGB001,Doors _AND_ Window Frames _AND_ Fitt,OH,Galvanised Barges - 3m,-50.0000,On Hand,06 Oct 2025
QOH,AVIBR0005,Roof Sheeting,OH,IBR 0.47mm Sheeting - Slate 6m,0.0000,On Hand,06 Oct 2025
QOH,AVIBR001,Roof Sheeting,OH,IBR sheeting AZ 0.47 x 3.6m,0.0000,On Hand,06 Oct 2025
