ItemCode,Description,CategoryDescript,Sum_Qty,StoreCode,Unit_Cost,Local_Curr_Value,TextUserField1,TextUserField2,TextUserField3,NumericUserField1,NumericUserField2,NumericUserField3,ExchRate,ItemID
PEXS1216-3/4F,1216 to 3/4inch Female,GAS PEX PIPE  FITTINGS AND EQUIPMENT,41.0000,GEO,24.700000,1012.700000,,,,0.0000,0.0000,0.0000,1.0000,92830154
PEXS1216-3/4F,1216 to 3/4inch Female,GAS PEX PIPE  FITTINGS AND EQUIPMENT,-24.0000,GEO,24.700000,-592.800000,,,,0.0000,0.0000,0.0000,1.0000,92830154
PEXS1216-3/4F,1216 to 3/4inch Female,GAS PEX PIPE  FITTINGS AND EQUIPMENT,37.0000,JHB,24.700000,913.900000,,,,0.0000,0.0000,0.0000,1.0000,92830154
PEXS1216-3/4F,1216 to 3/4inch Female,GAS PEX PIPE  FITTINGS AND EQUIPMENT,-14.0000,JHB,24.700000,-345.800000,,,,0.0000,0.0000,0.0000,1.0000,92830154
PEXS1216-3/4M,1216 to 3/4inch Male Union,GAS PEX PIPE  FITTINGS AND EQUIPMENT,26.0000,GEO,19.700000,512.200000,,,,0.0000,0.0000,0.0000,1.0000,92830155
PEXS1216-3/4M,1216 to 3/4inch Male Union,GAS PEX PIPE  FITTINGS AND EQUIPMENT,-2.0000,GEO,19.700000,-39.400000,,,,0.0000,0.0000,0.0000,1.0000,92830155
PEXS1216-3/4M,1216 to 3/4inch Male Union,GAS PEX PIPE  FITTINGS AND EQUIPMENT,13.0000,JHB,20.300000,263.900000,,,,0.0000,0.0000,0.0000,1.0000,92830155
PEXS1216-3/4M,1216 to 3/4inch Male Union,GAS PEX PIPE  FITTINGS AND EQUIPMENT,-1.0000,JHB,20.000000,-20.000000,,,,0.0000,0.0000,0.0000,1.0000,92830155
PEXS1216-3/8C,1216 to 3/8inch Compression,GAS PEX PIPE  FITTINGS AND EQUIPMENT,64.0000,GEO,25.883125,1656.520000,,,,0.0000,0.0000,0.0000,1.0000,92830156
PEXS1216-3/8C,1216 to 3/8inch Compression,GAS PEX PIPE  FITTINGS AND EQUIPMENT,-26.0000,GEO,25.906923,-673.580000,,,,0.0000,0.0000,0.0000,1.0000,92830156
PEXS1216-3/8C,1216 to 3/8inch Compression,GAS PEX PIPE  FITTINGS AND EQUIPMENT,28.0000,JHB,25.811428,722.720000,,,,0.0000,0.0000,0.0000,1.0000,92830156
PEXS1216-3/8C,1216 to 3/8inch Compression,GAS PEX PIPE  FITTINGS AND EQUIPMENT,-17.0000,JHB,25.935294,-440.900000,,,,0.0000,0.0000,0.0000,1.0000,92830156
PEXS1216-3/8M,1216 to 3/8inch Male,GAS PEX PIPE  FITTINGS AND EQUIPMENT,339.0000,GEO,15.583952,5282.960000,,,,0.0000,0.0000,0.0000,1.0000,92830157
PEXS1216-3/8M,1216 to 3/8inch Male,GAS PEX PIPE  FITTINGS AND EQUIPMENT,-277.0000,GEO,15.387454,-4262.325000,,,,0.0000,0.0000,0.0000,1.0000,92830157
PEXS1216-3/8M,1216 to 3/8inch Male,GAS PEX PIPE  FITTINGS AND EQUIPMENT,90.0000,JHB,14.564444,1310.800000,,,,0.0000,0.0000,0.0000,1.0000,92830157
PEXS1216-3/8M,1216 to 3/8inch Male,GAS PEX PIPE  FITTINGS AND EQUIPMENT,-90.0000,JHB,14.978500,-1348.065000,,,,0.0000,0.0000,0.0000,1.0000,92830157
PEXS1216-3/8MBV,1216 to 3/8inch Male Ball Valve,GAS PEX PIPE  FITTINGS AND EQUIPMENT,37.0000,GEO,47.580000,1760.460000,,,,0.0000,0.0000,0.0000,1.0000,92830158
PEXS1216-3/8MBV,1216 to 3/8inch Male Ball Valve,GAS PEX PIPE  FITTINGS AND EQUIPMENT,-16.0000,GEO,47.580000,-761.280000,,,,0.0000,0.0000,0.0000,1.0000,92830158
PEXS1216-3/8MBV,1216 to 3/8inch Male Ball Valve,GAS PEX PIPE  FITTINGS AND EQUIPMENT,13.0000,JHB,47.580000,618.540000,,,,0.0000,0.0000,0.0000,1.0000,92830158
PEXS1216-3/8ME,1216 to 3/8inch Male Elbow,PEX Pipe and Fittings,107.0000,JHB,20.000000,2140.000000,,,,0.0000,0.0000,0.0000,1.0000,92830160
