ItemCode,Description,CategoryDescript,Sum_Qty,StoreCode,LotNumber,Unit_Cost,Value_On_Hand
149553,Yellow stroller with green wheels,,75.0,RM,27022025RM1,255.2300,19142.25000
149554,Orange bicycle,Bicycles,23.0,FG,27022025RM1,509.2312,11712.31760
149554,Orange bicycle,Bicycles,47.0,RM,27022025RM1,509.2312,23933.86640
149554,Orange bicycle,Bicycles,25.0,RM,27022025RM36,123.4500,3086.25000
149554,Orange bicycle,Bicycles,3.0,RM,27022025RM38,123.4500,370.35000
152669,Silver ball with yellow dots,,177.0,RM,27022025RM1,38.5600,6825.12000
171226,Sport push chair,Chairs and Cushions,19.0,RM,27022025RM1,190.9400,3627.86000
31040,Ultimate chair with wheels,,21.0,RM,27022025RM1,126.8800,2664.48000
311066,Stroller cover - Blue,Chairs and Cushions,179.0,RM,27022025RM1,274.1800,49078.22000
311073,Chair cushion Orange,Chairs and Cushions,50.0,RM,27022025RM1,0.0000,0.00000
6009880532407,YCC- No Sugar Coconut Ice 50g,Vitamins,200.0,RM,27022025RM1,12.3700,2474.00000
608920,Plastic bike with big wheels,Bicycles,68.0,RM,27022025RM1,223.6500,15208.20000
618127,Green chair with brown piping,Chairs and Cushions,10.0,RM,27022025RM1,77.7700,777.70000
639795,High chair cover,Chairs and Cushions,29.0,FG,27022025RM1,247.7300,7184.17000
639795,High chair cover,Chairs and Cushions,14.0,RM,27022025RM1,247.7300,3468.22000
639795,High chair cover,Chairs and Cushions,17.0,RM,27022025RM35,225.0000,3825.00000
639801,Multi purpose wipes,,150.0,RM,27022025RM1,78.9600,11844.00000
643044,Green universal cushions,,22.0,RM,27022025RM1,56.7800,1249.16000
643044,Green universal cushions,,20.0,RM,28022025RM54,119.4000,2388.00000
643044,Green universal cushions,,20.0,RM,28022025RM57,169.4000,3388.00000
AFUL100,6009880532575 - BCAA/EAA Pwd 455g Oran Tang,Vitamins,8.0,RM,27022025RM1,10.0000,80.00000
AFUL120,6009880532582 - BCAA/EAA Pwd 455g Tropic,Vitamins,127.0,RM,27022025RM1,20.0000,2540.00000
AFUL160,6009880532568 - Creatine Pwd 455g,Vitamins,16.0,RM,27022025RM1,50.0000,800.00000
AFUL240,6009880532551 - L-Glutamine Pwd 455g,Vitamins,97.0,RM,27022025RM1,7.0000,679.00000
AFUL452,6009880532995 - Pure Whey Protein 1.82Kg Van Choc Variety,,3.0,RM,27022025RM1,12.0000,36.00000
AORG100,6009880532100 - Virgin Coconut oil 200ml,,90.0,RM,27022025RM1,3.0000,270.00000
BikeKit1,Bike made from Kit,Bicycles,0.0,RM,27022025RM1,735.7100,0.00000
FrameB1,Blue bike frame for kit,Spares and Accessories,15.0,RM,27022025RM1,234.5600,3518.40000
GripB1,Black Grips - Pair,Spares and Accessories,100.0,RM,27022025RM1,45.0000,4500.00000
IBR1800,IBR Sheeting 1800 mm long,,100.0,RM,27022025RM1,58.5600,5856.00000
IBRCoil,IBR Coil 686 wide,Coil Raw Materials,250.0,RM,27022025RM1,40.2300,10057.50000
IBRSPEC,IBR Sheeting - Special Size,,0.0,RM,27022025RM1,0.0000,0.00000
ItemT1,Testing Item 1 for quantities,Bicycles,50.0,RM,27022025RM1,101.0000,5050.00000
ItemT1,Testing Item 1 for quantities,Bicycles,50.0,RM,27022025RM39,30.0000,1500.00000
ItemT1,Testing Item 1 for quantities,Bicycles,30.0,RM,28022025RM51,63.3333,1899.99900
ItemT1,Testing Item 1 for quantities,Bicycles,30.0,RM,28022025RM52,104.4816,3134.44800
ItemT1,Testing Item 1 for quantities,Bicycles,30.0,RM,28022025RM53,104.4816,3134.44800
ItemT2,Testing Item 2 for quantities,,99.0,RM,27022025RM1,416.3500,41218.65000
ITM3Test,Testing Item 3 for quantities,,88.0,RM,27022025RM1,68.6300,6039.44000
ITM4Test,Item 4 Testing Quantities,,50.0,RM,27022025RM1,1000.0000,50000.00000
ITM5Test,Item 5 Testing Quantities,,88.0,RM,27022025RM1,123.4500,10863.60000
MISC,Miscellaneous - add details,,0.0,RM,,0.0000,0.00000
SeatR,Red Seat,Spares and Accessories,123.0,RM,27022025RM1,56.8900,6997.47000
TR001,Transport,Sponges,0.0,RM,,0.0000,0.00000
WheelS,Silver Wheels,Spares and Accessories,0.0,RM,27022025RM1,99.6300,0.00000
