ItemCode,Description,CategoryDescript,Sum_Qty,StoreCode,Unit_Cost,Local_Curr_Value,TextUserField1,TextUserField2,TextUserField3,NumericUserField1,NumericUserField2,NumericUserField3,ExchRate,ItemID
AX_ST_G,Shock tube - Green,Auxin Consignment Stock,-15600.0000,RM,0.000000,0.000000,,,,0.0000,0.0000,0.0000,1.0000,99677150
AXBB810X910,Clear bag 50mic 810x910mm,Auxin Consignment Stock,-13.0000,RM,0.000000,0.000000,,,,0.0000,0.0000,0.0000,1.0000,99676670
AXBOXTE8163B,Box MAXNEL TE8163B 605x305x310mm,Auxin Consignment Stock,-13.0000,RM,0.000000,0.000000,,,,0.0000,0.0000,0.0000,1.0000,99676678
AXDDET8D500MS,Detonator 8D 500ms,Auxin Consignment Stock,-5200.0000,RM,0.000000,0.000000,,,,0.0000,0.0000,0.0000,1.0000,99676726
AXLL3M,Length Tape 3m,Auxin Consignment Stock,-2.6000,RM,0.000000,0.000000,,,,0.0000,0.0000,0.0000,1.0000,99676765
AXMNBOXT,Maxnel Box Tape 72mm x 80m,Auxin Consignment Stock,-0.5200,RM,0.000000,0.000000,,,,0.0000,0.0000,0.0000,1.0000,99676869
AXMNBUNDT,Maxnel Bundle Tape 30mm x 200m,Auxin Consignment Stock,-0.5200,RM,0.000000,0.000000,,,,0.0000,0.0000,0.0000,1.0000,99676872
AXRF6.1X45MM,Ferrel 45 x 6.1mm,Auxin Consignment Stock,-5200.0000,RM,0.000000,0.000000,,,,0.0000,0.0000,0.0000,1.0000,99677053
AXTL500MS,Timing Tag 500ms,Auxin Consignment Stock,-2.6000,RM,0.000000,0.000000,,,,0.0000,0.0000,0.0000,1.0000,99677111
LCONTENT,Content Label (100mm x 100mm),Raw Materials-Labels,-26.0000,RM,0.350000,-9.100000,,,,0.0000,0.0000,0.0000,1.0000,99678727
MAXNEL3MX500MS,MAXNEL DH  3m500ms,Auxin Consignment Stock,5200.0000,FG,0.001700,8.840000,,,,0.0000,0.0000,0.0000,1.0000,100134519
