Document,ItemCode,Category,Trn,Description,Qty,Year_Mth_Week,Due_Date
QOH,643044,,OH,Green universal cushions,0.0000,0n Hand,01 Aug 2024
QOH,639795,,OH,High chair cover,10.0000,0n Hand,01 Aug 2024
QOH,639801,,OH,Multi purpose wipes,0.0000,0n Hand,01 Aug 2024
QOH,149554,Bicycles,OH,Orange bicycle,0.0000,0n Hand,01 Aug 2024
QOH,149553,,OH,Yellow stroller with green wheels,75.0000,0n Hand,01 Aug 2024
QOH,311066,,OH,Stroller cover - Blue,179.0000,0n Hand,01 Aug 2024
QOH,311073,,OH,Chair cushion Orange,0.0000,0n Hand,01 Aug 2024
QOH,618127,,OH,Green chair with brown piping,0.0000,0n Hand,01 Aug 2024
QOH,31040,,OH,Ultimate chair with wheels,7.0000,0n Hand,01 Aug 2024
QOH,608920,Bicycles,OH,Plastic bike with big wheels,0.0000,0n Hand,01 Aug 2024
QOH,152669,,OH,Silver ball with yellow dots,124.0000,0n Hand,01 Aug 2024
QOH,171226,,OH,Sport push chair,11.0000,0n Hand,01 Aug 2024
QOH,6009880532407,,OH,YCC- No Sugar Coconut Ice 50g,0.0000,0n Hand,01 Aug 2024
QOH,AFUL100,,OH,6009880532575 - BCAA/EAA Pwd 455g Oran Tang,8.0000,0n Hand,01 Aug 2024
QOH,AFUL120,,OH,6009880532582 - BCAA/EAA Pwd 455g Tropic,-1.0000,0n Hand,01 Aug 2024
QOH,AFUL160,,OH,6009880532568 - Creatine Pwd 455g,16.0000,0n Hand,01 Aug 2024
QOH,AFUL240,,OH,6009880532551 - L-Glutamine Pwd 455g,97.0000,0n Hand,01 Aug 2024
QOH,AFUL452,,OH,6009880532995 - Pure Whey Protein 1.82Kg Van Choc Variety,3.0000,0n Hand,01 Aug 2024
QOH,AORG100,,OH,6009880532100 - Virgin Coconut oil 200ml,90.0000,0n Hand,01 Aug 2024
QOH,ItemT1,Bicycles,OH,Testing Item 1 for quantities,50.0000,0n Hand,01 Aug 2024
QOH,ItemT2,,OH,Testing Item 2 for quantities,0.0000,0n Hand,01 Aug 2024
QOH,ITM3Test,,OH,Testing Item 3 for quantities,0.0000,0n Hand,01 Aug 2024
QOH,ITM4Test,,OH,Item 4 Testing Quantities,50.0000,0n Hand,01 Aug 2024
QOH,ITM5Test,,OH,Item 5 Testing Quantities,0.0000,0n Hand,01 Aug 2024
wwwww,149553,,FC,Yellow stroller with green wheels,-400.0000,2024-07 Week28,10 Jul 2024
Fred's Jungle Gyms,639801,,FC,Multi purpose wipes,-250.0000,2024-05 Week20,15 May 2024
JC001024,639795,,JC,High chair cover,-4.0000,2024-07 Week31,31 Jul 2024
PS0000001,149554,Bicycles,PS,Orange bicycle,-2.0000,2024-07 Week27,15 Jun 2024
PS0000005,311066,,PS,Stroller cover - Blue,-1.0000,2024-06 Week26,14 Jun 2024
PO0000005,152669,,PO,Silver ball with yellow dots,25.0000,2024-05 Week22,31 May 2024
PO0000006,152669,,PO,Silver ball with yellow dots,12.0000,2024-05 Week22,31 May 2024
PO0000007,171226,,PO,Sport push chair,0.0000,2024-06 Week23,03 Jun 2024
PO0000007,31040,,PO,Ultimate chair with wheels,0.0000,2024-06 Week23,03 Jun 2024
PO0000013,TR001,Sponges,PO,Transport,0.0000,2024-07 Week31,31 Jul 2024
PO0000014,TR001,Sponges,PO,Transport,0.0000,2024-07 Week31,31 Jul 2024
PO0000019,TR001,Sponges,PO,Transport,0.0000,2024-07 Week31,31 Jul 2024
