WONum,LinkedDocumentNum,Reference,Status,ItemCode,Category,Description,Qty,Year_Mth_Week,Due_Date,Trn,UseQty,ScrapQty,RejectQty
58,,,NEW,149554,,Orange bicycle,-1.0000,0001-01 Week1,,WO,0.0000,0.0000,0.0000
6,,qwertyuiop,NEW,639801,,Multi purpose wipes,-1250.0000,2025-07 Week28,11 Jul 2025,WO,0.0000,0.0000,0.0000
6,,qwertyuiop,NEW,AFUL120,,6009880532582 - BCAA/EAA Pwd 455g Tropic,-7000.0000,2025-07 Week28,11 Jul 2025,WO,0.0000,0.0000,0.0000
6,,qwertyuiop,NEW,AORG100,,6009880532100 - Virgin Coconut oil 200ml,-1000.0000,2025-07 Week28,11 Jul 2025,WO,0.0000,0.0000,0.0000
6,,qwertyuiop,NEW,REPAIR01,,REPAIRS,-2000.0000,2025-07 Week28,11 Jul 2025,WO,0.0000,0.0000,0.0000
7,,qwertyuiop,NEW,643044,,Green universal cushions,-2.0000,2025-07 Week31,31 Jul 2025,WO,0.0000,0.0000,0.0000
7,,qwertyuiop,NEW,639801,,Multi purpose wipes,-40.0000,2025-07 Week31,31 Jul 2025,WO,0.0000,0.0000,0.0000
7,,qwertyuiop,NEW,AFUL100,,6009880532575 - BCAA/EAA Pwd 455g Oran Tang,-2500.0000,2025-07 Week31,31 Jul 2025,WO,0.0000,0.0000,0.0000
7,,qwertyuiop,NEW,AFUL100,,6009880532575 - BCAA/EAA Pwd 455g Oran Tang,-1500.0000,2025-07 Week31,31 Jul 2025,WO,0.0000,0.0000,0.0000
7,,qwertyuiop,NEW,AFUL120,,6009880532582 - BCAA/EAA Pwd 455g Tropic,-3500.0000,2025-07 Week31,31 Jul 2025,WO,0.0000,0.0000,0.0000
7,,qwertyuiop,NEW,AORG100,,6009880532100 - Virgin Coconut oil 200ml,-500.0000,2025-07 Week31,31 Jul 2025,WO,0.0000,0.0000,0.0000
8,,qwerty,NEW,639801,,Multi purpose wipes,-100.0000,2025-08 Week33,12 Aug 2025,WO,0.0000,0.0000,0.0000
8,,qwerty,NEW,639801,,Multi purpose wipes,-500.0000,2025-08 Week33,12 Aug 2025,WO,0.0000,0.0000,0.0000
8,,qwerty,NEW,AORG100,,6009880532100 - Virgin Coconut oil 200ml,-1000.0000,2025-08 Week33,12 Aug 2025,WO,0.0000,0.0000,0.0000
18,,qqqqqqq,NEW,639801,,Multi purpose wipes,-250.0000,2025-08 Week34,19 Aug 2025,WO,0.0000,0.0000,0.0000
18,,qqqqqqq,NEW,639801,,Multi purpose wipes,-100.0000,2025-08 Week34,19 Aug 2025,WO,0.0000,0.0000,0.0000
18,,qqqqqqq,NEW,AFUL100,,6009880532575 - BCAA/EAA Pwd 455g Oran Tang,-200.0000,2025-08 Week34,19 Aug 2025,WO,0.0000,0.0000,0.0000
18,,qqqqqqq,NEW,AFUL240,,6009880532551 - L-Glutamine Pwd 455g,-350.0000,2025-08 Week34,19 Aug 2025,WO,0.0000,0.0000,0.0000
18,,qqqqqqq,NEW,AORG100,,6009880532100 - Virgin Coconut oil 200ml,-400.0000,2025-08 Week34,19 Aug 2025,WO,0.0000,0.0000,0.0000
18,,qqqqqqq,NEW,AORG100,,6009880532100 - Virgin Coconut oil 200ml,-500.0000,2025-08 Week34,19 Aug 2025,WO,0.0000,0.0000,0.0000
23,,Stock nnn,NEW,639801,,Multi purpose wipes,-150.0000,2025-08 Week35,29 Aug 2025,WO,0.0000,0.0000,0.0000
23,,Stock nnn,NEW,AFUL100,,6009880532575 - BCAA/EAA Pwd 455g Oran Tang,-120.0000,2025-08 Week35,29 Aug 2025,WO,0.0000,0.0000,0.0000
23,,Stock nnn,NEW,AFUL240,,6009880532551 - L-Glutamine Pwd 455g,-210.0000,2025-08 Week35,29 Aug 2025,WO,0.0000,0.0000,0.0000
23,,Stock nnn,NEW,AFUL240,,6009880532551 - L-Glutamine Pwd 455g,-90.0000,2025-08 Week35,29 Aug 2025,WO,0.0000,0.0000,0.0000
23,,Stock nnn,NEW,AORG100,,6009880532100 - Virgin Coconut oil 200ml,-300.0000,2025-08 Week35,29 Aug 2025,WO,0.0000,0.0000,0.0000
47,,thewrewry,,639801,,Multi purpose wipes,-10.0000,2025-09 Week36,01 Sep 2025,WO,10.0000,0.0000,0.0000
47,,thewrewry,,AFUL120,,6009880532582 - BCAA/EAA Pwd 455g Tropic,-5.0000,2025-09 Week36,01 Sep 2025,WO,5.0000,0.0000,0.0000
47,,thewrewry,,AORG100,,6009880532100 - Virgin Coconut oil 200ml,-35.0000,2025-09 Week36,01 Sep 2025,WO,35.0000,0.0000,0.0000
48,,qwerty,NEW,639801,,Multi purpose wipes,-30.0000,2025-09 Week36,02 Sep 2025,WO,30.0000,0.0000,0.0000
48,,qwerty,NEW,AFUL100,,6009880532575 - BCAA/EAA Pwd 455g Oran Tang,-20.0000,2025-09 Week36,02 Sep 2025,WO,0.0000,0.0000,0.0000
48,,qwerty,NEW,AFUL120,,6009880532582 - BCAA/EAA Pwd 455g Tropic,-3.6000,2025-09 Week36,02 Sep 2025,WO,0.0000,0.0000,0.0000
48,,qwerty,NEW,ACItem1,,AdditionalCostItem1,-10.0000,2025-09 Week36,02 Sep 2025,WO,0.0000,0.0000,0.0000
48,,qwerty,NEW,ACItem2,,AddCostsItem2,-2.0000,2025-09 Week36,02 Sep 2025,WO,0.0000,0.0000,0.0000
49,,qqqqqqq,NEW,639801,,Multi purpose wipes,-30.0000,2025-09 Week37,10 Sep 2025,WO,30.0000,0.0000,0.0000
49,,qqqqqqq,NEW,639801,,Multi purpose wipes,-30.0000,2025-09 Week37,10 Sep 2025,WO,30.0000,0.0000,0.0000
49,,qqqqqqq,NEW,AFUL100,,6009880532575 - BCAA/EAA Pwd 455g Oran Tang,-20.0000,2025-09 Week37,10 Sep 2025,WO,20.0000,0.0000,0.0000
49,,qqqqqqq,NEW,AFUL120,,6009880532582 - BCAA/EAA Pwd 455g Tropic,-3.6000,2025-09 Week37,10 Sep 2025,WO,3.6000,0.0000,0.0000
49,,qqqqqqq,NEW,ACItem2,,AddCostsItem2,-30.0000,2025-09 Week37,10 Sep 2025,WO,0.0000,0.0000,0.0000
50,,qwerty,,639801,,Multi purpose wipes,-30.0000,2025-09 Week38,15 Sep 2025,WO,30.0000,0.0000,0.0000
50,,qwerty,,AORG100,,6009880532100 - Virgin Coconut oil 200ml,-500.0000,2025-09 Week38,15 Sep 2025,WO,500.0000,0.0000,0.0000
46,PS0000034,tyhwst,NEW,639801,,Multi purpose wipes,-25.0000,2025-09 Week40,30 Sep 2025,WO,0.0000,0.0000,0.0000
46,PS0000034,tyhwst,NEW,AFUL100,,6009880532575 - BCAA/EAA Pwd 455g Oran Tang,-20.0000,2025-09 Week40,30 Sep 2025,WO,0.0000,0.0000,0.0000
46,PS0000034,tyhwst,NEW,AFUL240,,6009880532551 - L-Glutamine Pwd 455g,-35.0000,2025-09 Week40,30 Sep 2025,WO,0.0000,0.0000,0.0000
46,PS0000034,tyhwst,NEW,AFUL240,,6009880532551 - L-Glutamine Pwd 455g,-15.0000,2025-09 Week40,30 Sep 2025,WO,0.0000,0.0000,0.0000
46,PS0000034,tyhwst,NEW,AORG100,,6009880532100 - Virgin Coconut oil 200ml,-50.0000,2025-09 Week40,30 Sep 2025,WO,0.0000,0.0000,0.0000
51,,sdhtsdfghsdf,,639801,,Multi purpose wipes,-30.0000,2025-10 Week43,22 Oct 2025,WO,30.0000,0.0000,0.0000
51,,sdhtsdfghsdf,,AFUL100,,6009880532575 - BCAA/EAA Pwd 455g Oran Tang,-9.0000,2025-10 Week43,22 Oct 2025,WO,9.0000,2.0000,0.0000
51,,sdhtsdfghsdf,,AFUL120,,6009880532582 - BCAA/EAA Pwd 455g Tropic,-15.0000,2025-10 Week43,22 Oct 2025,WO,15.0000,1.0000,0.0000
51,,sdhtsdfghsdf,,AORG100,,6009880532100 - Virgin Coconut oil 200ml,-500.0000,2025-10 Week43,22 Oct 2025,WO,500.0000,0.0000,0.0000
52,,qwerty,,AFUL100,,6009880532575 - BCAA/EAA Pwd 455g Oran Tang,-15.0000,2025-11 Week47,18 Nov 2025,WO,0.0000,0.0000,0.0000
52,,qwerty,,AFUL120,,6009880532582 - BCAA/EAA Pwd 455g Tropic,-25.0000,2025-11 Week47,18 Nov 2025,WO,0.0000,0.0000,0.0000
53,,qqqqqqq2,NEW,Select,,,-6.1440,2025-11 Week47,21 Nov 2025,WO,0.0000,0.0000,0.0000
53,,qqqqqqq2,NEW,639801,,Multi purpose wipes,-30.0000,2025-11 Week47,21 Nov 2025,WO,0.0000,0.0000,0.0000
53,,qqqqqqq2,NEW,AFUL120,,6009880532582 - BCAA/EAA Pwd 455g Tropic,-168.0000,2025-11 Week47,21 Nov 2025,WO,0.0000,0.0000,0.0000
53,,qqqqqqq2,NEW,AORG100,,6009880532100 - Virgin Coconut oil 200ml,-24.0000,2025-11 Week47,21 Nov 2025,WO,0.0000,0.0000,0.0000
54,,qwerty 456,New,643044,,Green universal cushions,-1.0000,2026-01 Week3,14 Jan 2026,WO,0.0000,0.0000,0.0000
54,,qwerty 456,New,639801,,Multi purpose wipes,-15.0000,2026-01 Week3,14 Jan 2026,WO,15.0000,0.0000,0.0000
54,,qwerty 456,New,639801,,Multi purpose wipes,-15.0000,2026-01 Week3,14 Jan 2026,WO,0.0000,0.0000,0.0000
54,,qwerty 456,New,149553,,Yellow stroller with green wheels,-1.1900,2026-01 Week3,14 Jan 2026,WO,0.0000,0.0000,0.0000
54,,qwerty 456,New,AFUL100,,6009880532575 - BCAA/EAA Pwd 455g Oran Tang,-10.0000,2026-01 Week3,14 Jan 2026,WO,10.0000,2.0000,0.0000
54,,qwerty 456,New,AFUL120,,6009880532582 - BCAA/EAA Pwd 455g Tropic,-1.8000,2026-01 Week3,14 Jan 2026,WO,0.0000,0.0000,0.0000
54,,qwerty 456,New,ACItem2,,AddCostsItem2,-15.0000,2026-01 Week3,14 Jan 2026,WO,0.0000,0.0000,0.0000
55,,qwerty,NEW,639801,,Multi purpose wipes,-30.0000,2026-01 Week5,27 Jan 2026,WO,0.0000,0.0000,0.0000
55,,qwerty,NEW,639801,,Multi purpose wipes,-30.0000,2026-01 Week5,27 Jan 2026,WO,0.0000,0.0000,0.0000
55,,qwerty,NEW,149553,,Yellow stroller with green wheels,-2.3800,2026-01 Week5,27 Jan 2026,WO,0.0000,0.0000,0.0000
55,,qwerty,NEW,AFUL100,,6009880532575 - BCAA/EAA Pwd 455g Oran Tang,-20.0000,2026-01 Week5,27 Jan 2026,WO,0.0000,0.0000,0.0000
55,,qwerty,NEW,AFUL120,,6009880532582 - BCAA/EAA Pwd 455g Tropic,-3.6000,2026-01 Week5,27 Jan 2026,WO,0.0000,0.0000,0.0000
55,,qwerty,NEW,ACItem2,,AddCostsItem2,-30.0000,2026-01 Week5,27 Jan 2026,WO,0.0000,0.0000,0.0000
57,,qwerty,NEW,639801,,Multi purpose wipes,-15.0000,2026-01 Week5,27 Jan 2026,WO,0.0000,0.0000,0.0000
57,,qwerty,NEW,639801,,Multi purpose wipes,-15.0000,2026-01 Week5,27 Jan 2026,WO,0.0000,0.0000,0.0000
57,,qwerty,NEW,149553,,Yellow stroller with green wheels,-1.1900,2026-01 Week5,27 Jan 2026,WO,0.0000,0.0000,0.0000
57,,qwerty,NEW,AFUL100,,6009880532575 - BCAA/EAA Pwd 455g Oran Tang,-10.0000,2026-01 Week5,27 Jan 2026,WO,0.0000,0.0000,0.0000
57,,qwerty,NEW,AFUL120,,6009880532582 - BCAA/EAA Pwd 455g Tropic,-1.8000,2026-01 Week5,27 Jan 2026,WO,0.0000,0.0000,0.0000
57,,qwerty,NEW,ACItem2,,AddCostsItem2,-15.0000,2026-01 Week5,27 Jan 2026,WO,0.0000,0.0000,0.0000
59,,qwerty7,NEW,639801,,Multi purpose wipes,-2.0000,2026-02 Week6,04 Feb 2026,WO,0.0000,0.0000,0.0000
