ItemCode,Description,CategoryDescript,Sum_Qty,StoreCode,Unit_Cost,Local_Curr_Value,TextUserField1,TextUserField2,TextUserField3,NumericUserField1,NumericUserField2,NumericUserField3,ExchRate,ItemID
149553ZZ,Yellow stroller with green wheels,,56.0000,FG,237.506785,13300.380000,1,,9.5,30.0000,40.0000,50.0000,1.0000,42
149553ZZ,Yellow stroller with green wheels,,-21.0000,FG,250.503809,-5260.580000,1,,9.5,30.0000,40.0000,50.0000,1.0000,42
149553ZZ,Yellow stroller with green wheels,,3.0000,WIP1,235.380000,706.140000,1,,9.5,30.0000,40.0000,50.0000,1.0000,42
149554,Orange bicycle,Bicycles,1.0000,FG,242.600000,242.600000,001,,11.1,50.0000,60.0000,70.0000,1.0000,41
149554,Orange bicycle,Bicycles,-1.0000,FG,385.480000,-385.480000,001,,11.1,50.0000,60.0000,70.0000,1.0000,41
149554,Orange bicycle,Bicycles,1.0000,FG,986.540000,986.540000,001,,11.1,50.0000,60.0000,70.0000,1.0000,41
152669,Silver ball with yellow dots,,25.0000,FG,39.928000,998.200000,,,3.5,32.0000,25.0000,30.0000,1.0000,109
152669,Silver ball with yellow dots,,-1.0000,FG,37.440000,-37.440000,,,3.5,32.0000,25.0000,30.0000,1.0000,109
152669,Silver ball with yellow dots,,3.0000,FG,25.000000,1420.454545,,,3.5,32.0000,25.0000,30.0000,0.0528,109
152669,Silver ball with yellow dots,,-3.0000,FG,25.000000,-75.000000,,,3.5,32.0000,25.0000,30.0000,1.0000,109
152669,Silver ball with yellow dots,,1.0000,FG,25.000000,473.484848,,,3.5,32.0000,25.0000,30.0000,0.0528,109
152669,Silver ball with yellow dots,,-1.0000,FG,25.000000,-25.000000,,,3.5,32.0000,25.0000,30.0000,1.0000,109
152669,Silver ball with yellow dots,,3.0000,FG,25.000000,75.000000,,,3.5,32.0000,25.0000,30.0000,1.0000,109
171226,Sport push chair,Chairs and Cushions,62.0000,FG,143.356935,8888.130000,,,7,40.0000,30.0000,20.0000,1.0000,111
171226,Sport push chair,Chairs and Cushions,-1.0000,FG,125.568100,-125.568100,,,7,40.0000,30.0000,20.0000,1.0000,111
