ItemCode,Description,CategoryDescript,Sum_Qty,StoreCode,Unit_Cost,Value_On_Hand,TextUserField1,TextUserField2,TextUserField3,NumericUserField1,NumericUserField2,NumericUserField3
020337,Nozzle 100A Shielded,Plasma Jhb,44.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
020415,Electrode 130A H35/N2,Plasma Jhb,16.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
020690,T-1045 Nozzle 100A Max200/HT2000,Plasma Jhb,-210.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
020690,T-1045 Nozzle 100A Max200/HT2000,Plasma Jhb,315.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
0558002533,Swirl Ring,Plasma Jhb,7.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
0558003804,Torch Body,Plasma Jhb,2.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
0558003914,Electrode,Plasma Jhb,95.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
0558003924,Electrode Holder:PT-19XLS/PT-36/,Plasma Jhb,6.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
0558003928,Electrode,Plasma Jhb,56.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
0558006014,Nozzle,Plasma Jhb,20.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
0558006018,Nozzle,Plasma Jhb,54.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
0558006020,Nozzle,Plasma Jhb,88.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
0558006020,Nozzle,Plasma Jhb,-20.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
0558006023,Nozzle,Plasma Jhb,60.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
0558006025,Nozzle,Plasma Jhb,43.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
0558006030,Nozzle,Plasma Jhb,10.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
0558006036,Nozzle,Plasma Jhb,57.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
0558006141,Shield,Plasma Jhb,55.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
0558006166,Shield Cap 6.6mm,Plasma Jhb,15.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
0558006166,Shield Cap 6.6mm,Plasma Jhb,-15.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
0558006199,Shield,Plasma Jhb,25.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
0558009199,Shield Cup 9.9mm,Plasma Jhb,5.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
0558009400,ELECTRODE 30-60A:PT-19XLS/PT-36/,Plasma Jhb,12.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
0558009410,Nozzle 1.0mm PT36,Plasma Jhb,15.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
059473,TTS059473; DMX105HandTorch+Lead 7.5m,Plasma Jhb,1.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
059477,KT-1518; DMXM TORCH w/LEADS 7 6M (25'),Plasma Jhb,2.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
059482,TTS059482;DMXM Torch w Leads 7 5m short,Plasma Jhb,2.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
0769932,TTS0769932; Heating Nozzle,Plasma Jhb,5.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
1-008S,N-10054 O-Ring Repair Torch Assy,Plasma Jhb,-65.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
1-008S,N-10054 O-Ring Repair Torch Assy,Plasma Jhb,130.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
1-009S,N-10055 O-Ring Repair Torch Assy,Plasma Jhb,5.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
1-014S,N-10067 O-Ring Repair Torch Assy,Plasma Jhb,101.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
1-025S,N-10092 O-RING,Plasma Jhb,20.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
1-028B,N-10096 O-Ring Repair Assembly,Plasma Jhb,25.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
10-223,Waterpump,Plasma,1.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
