Document,ItemCode,Category,Trn,Description,Qty,Year_Mth_Week,Due_Date
QOH,26%DADMAC,,OH,Polydadmac26%,2750.0000,On Hand,06 Oct 2025
QOH,30%DADMAC,,OH,Polydadmac30%,0.0000,On Hand,06 Oct 2025
QOH,4010SF,,OH,AF401,500.0000,On Hand,06 Oct 2025
QOH,40155SF,,OH,AF4155,0.0000,On Hand,06 Oct 2025
QOH,4015SF,,OH,AF415,0.0000,On Hand,06 Oct 2025
QOH,40255SF,,OH,AF4255,0.0000,On Hand,06 Oct 2025
QOH,4025SF,,OH,AF425,0.0000,On Hand,06 Oct 2025
QOH,40355SF,,OH,AF3055,0.0000,On Hand,06 Oct 2025
QOH,4035SF,,OH,AF305,0.0000,On Hand,06 Oct 2025
QOH,40365SF,,OH,AF3065,0.0000,On Hand,06 Oct 2025
QOH,4036SF,,OH,AF306,0.0000,On Hand,06 Oct 2025
QOH,40385SF,,OH,AF3085,0.0000,On Hand,06 Oct 2025
QOH,4038SF,,OH,AF308,0.0000,On Hand,06 Oct 2025
QOH,40NSF,,OH,AF402,6000.0000,On Hand,06 Oct 2025
QOH,40SF,,OH,AF40,0.0000,On Hand,06 Oct 2025
QOH,ACE001,,OH,Acetic Acid,0.0000,On Hand,06 Oct 2025
QOH,ACH,,OH,ACH,176.0000,On Hand,06 Oct 2025
QOH,ACT001,,OH,Activated Carbon,1000.0000,On Hand,06 Oct 2025
QOH,AL001,,OH,Alcohol Solvent,0.0000,On Hand,06 Oct 2025
QOH,ALS001,,OH,Aluminium Sulphate Granular,0.0000,On Hand,06 Oct 2025
QOH,ALS002,,OH,Aluminuim Sulphate Liquid,10000.0000,On Hand,06 Oct 2025
QOH,AMM001,,OH,Ammonia Solution,0.0000,On Hand,06 Oct 2025
QOH,BAC001,,OH,Bactallion Enzyme,0.0000,On Hand,06 Oct 2025
QOH,BL001,,OH,Bleach,0.0000,On Hand,06 Oct 2025
QOH,CAL001,,OH,Calcium Hypochlorite,33370.0000,On Hand,06 Oct 2025
QOH,CASH001,,OH,Cash Supplier,0.0000,On Hand,06 Oct 2025
QOH,CAU001,,OH,Caustic Soda Flakes,0.0000,On Hand,06 Oct 2025
QOH,CHLO001,,OH,Chlorine (liquid of water),0.0000,On Hand,06 Oct 2025
QOH,CON001,,OH,Container 5LT,0.0000,On Hand,06 Oct 2025
QOH,DAD001,,OH,Dadmac,17700.0100,On Hand,06 Oct 2025
QOH,DEL001,,OH,Delivery Cost,0.0000,On Hand,06 Oct 2025
