ItemCode,Description,CategoryDescript,Sum_Qty,StoreCode,LotNumber,Unit_Cost,Value_On_Hand
ADDC001,Additional costs Item 1,,75.0000,RM,16092024RM15,103.6750,7775.62500000
BB0001,Big Bike with 2 wheels,Bikes,100.0000,RM,16092024RM1,489.5600,48956.00000000
BBFRAMEB,Big Bike Frame Blue,Spares,20.0000,RM,16092024RM12,99.8500,1997.00000000
BBFRAMER,Big Bike Frame Red,Spares,11.0000,RM,16092024RM9,256.3000,2819.30000000
BBK001,Big Bike DIY Kit,Bikes,0.0000,RM,16092024RM2,476.1700,0.00000000
BBWheels-S,Silver Wheels for Big Bike,Spares,158.0000,RM,16092024RM4,27.5600,4354.48000000
DOLLMED,Doll - Medium,Play houses and accessories,34.0000,RM,16092024RM14,52.3600,1780.24000000
DOLLTALL,Tall Doll,Play houses and accessories,93.0000,RM,16092024RM13,23.4500,2180.85000000
GR0012,Green Bike with small fromt wheel,Bikes,152.0000,RM,16092024RM3,123.4500,18764.40000000
HSBDIY,DIY Big play house Kit,Play houses and accessories,12.0000,RM,16092024RM8,365.2400,4382.88000000
HSPBIG,Big play house,Play houses and accessories,44.0000,RM,16092024RM7,412.3500,18143.40000000
SEAT-U,Universal Seat,Spares,61.0000,RM,16092024RM5,96.3500,5877.35000000
TRI001B,Kiddies tricycle blue and white,Bikes,25.0000,RM,16092024RM6,234.5600,5864.00000000
WID001,Widget Simple 1,Widgets,39.0000,RM,,75.6800,2951.52000000
WIDC002,Widget component 2,Widgets,199.0000,RM,16092024RM10,5.6700,1128.33000000
WIDC003,Another Widget Bundle component,Widgets,147.0000,RM,16092024RM11,11.5600,1699.32000000
