ItemCode,Description,CategoryDescript,Sum_Qty,StoreCode,LotNumber,Unit_Cost,Value_On_Hand,TextUserField1,TextUserField2,TextUserField3,NumericUserField1,NumericUserField2,NumericUserField3
0010,TRANSPORT INVOICED,SERVICE ITEMS,0.000,RM,,1.0000,0.0000000,,,,0.00,0.00,0.00
0015,MACHINING INVOICED,SERVICE ITEMS,-34463.711,RM,,0.0000,0.0000000,,,,0.00,0.00,0.00
0020,COMMISSION INVOICED,SERVICE ITEMS,-1.000,RM,,0.0000,0.0000000,,,,0.00,0.00,0.00
1150,CHARCOAL LUMPS BAG 5KG 20-30MM,CHARCOAL,3164.000,RM,24042025RM165,121.7400,385185.3600000,,,,0.00,0.00,0.00
1201,PINE SA 25MM X 228MM CCA TREATED,SAWN TIMBER PINE SA,25.350,RM,24042025RM179,23517.0600,596157.4710000,,,,0.00,0.00,0.00
1202,PINE SA 38MM X 228MM CCA TREATED,SAWN TIMBER PINE SA,0.000,RM,24042025RM2,22281.7000,0.0000000,,,,0.00,0.00,0.00
1203,PINE SA 50MM X 228MM CCA TREATED,SAWN TIMBER PINE SA,11.257,RM,24042025RM3,25189.7600,283561.1283200,,,,0.00,0.00,0.00
1210,PINE NZ 22MM X 194MM CCA TREATED KD,SAWN TIMBER PINE OCEANIA,0.152,RM,24042025RM171,44017.3400,6690.6356800,,,,0.00,0.00,0.00
1211,PINE NZ 35MM X 194MM CCA TREATED KD,SAWN TIMBER PINE OCEANIA,5.908,RM,24042025RM172,44062.3000,260320.0684000,,,,0.00,0.00,0.00
1261,PINE EU 20MM X 220MM TREATED KD,SAWN TIMBER PINE EUROPEAN,0.000,RM,24042025RM135,166.5400,0.0000000,,,,0.00,0.00,0.00
1262,PINE EU 45MM X 70MM TREATED KD,SAWN TIMBER PINE EUROPEAN,924.000,RM,24042025RM136,110.4100,102018.8400000,,,,0.00,0.00,0.00
1263,PINE EU 45MM X 95MM TREATED KD,SAWN TIMBER PINE EUROPEAN,0.000,RM,24042025RM137,171.2800,0.0000000,,,,0.00,0.00,0.00
1264,PINE EU 70MM X 70MM TREATED KD,SAWN TIMBER PINE EUROPEAN,270.000,RM,24042025RM138,164.5100,44417.7000000,,,,0.00,0.00,0.00
1265,PINE EU 70MM X 145MM TREATED KD,SAWN TIMBER PINE EUROPEAN,0.000,RM,24042025RM139,327.6400,0.0000000,,,,0.00,0.00,0.00
1266,PINE EU 90MM X 90MM TREATED KD,SAWN TIMBER PINE EUROPEAN,6.000,RM,24042025RM140,277.5700,1665.4200000,,,,0.00,0.00,0.00
1267,PINE EU 95MM X 145MM TREATED KD,SAWN TIMBER PINE EUROPEAN,0.000,RM,24042025RM141,485.8200,0.0000000,,,,0.00,0.00,0.00
1268,PINE EU 140MM X 140MM TREATED KD,SAWN TIMBER PINE EUROPEAN,282.000,RM,24042025RM142,955.0600,269326.9200000,,,,0.00,0.00,0.00
1269,PINE EU 70MM X 95MM TREATED KD,SAWN TIMBER PINE EUROPEAN,36.000,RM,24042025RM143,225.5400,8119.4400000,,,,0.00,0.00,0.00
1270,PINE EU 27MM X 195MM TREATED KD,SAWN TIMBER PINE EUROPEAN,0.000,RM,24042025RM144,195.4700,0.0000000,,,,0.00,0.00,0.00
1271,PINE EU 120MM X 120MM TREATED KD,SAWN TIMBER PINE EUROPEAN,234.000,RM,24042025RM145,487.0300,113965.0200000,,,,0.00,0.00,0.00
