Document,ItemCode,Category,Trn,Description,Qty,Year_Mth_Week,Due_Date
QOH,P12,NAD,OH,Mixed Pallet,1.0000,On Hand,28 Apr 2025
QOH,P13,NAD,OH,Mixed Pallet,1.0000,On Hand,28 Apr 2025
QOH,P16,NAD,OH,Mixed Pallet,1.0000,On Hand,28 Apr 2025
QOH,P177,NAD,OH,Mixed Pallet,1.0000,On Hand,28 Apr 2025
QOH,P178,NAD,OH,Mixed Pallet,0.0000,On Hand,28 Apr 2025
QOH,P179,NAD,OH,Mixed Pallet,1.0000,On Hand,28 Apr 2025
QOH,P180,NAD,OH,Mixed Pallet,1.0000,On Hand,28 Apr 2025
QOH,P181,NAD,OH,Mixed Pallet,1.0000,On Hand,28 Apr 2025
QOH,P19,NAD,OH,Mixed Pallet,1.0000,On Hand,28 Apr 2025
QOH,P20,NAD,OH,Mixed Pallet,1.0000,On Hand,28 Apr 2025
QOH,P206,NAD,OH,Mixed Pallet,0.0000,On Hand,28 Apr 2025
QOH,P21,NAD,OH,Mixed Pallet,1.0000,On Hand,28 Apr 2025
QOH,P212,NAD,OH,Mixed Pallet,0.0000,On Hand,28 Apr 2025
QOH,P23,NAD,OH,Mixed Pallet,1.0000,On Hand,28 Apr 2025
QOH,P24,NAD,OH,Mixed Pallet,1.0000,On Hand,28 Apr 2025
QOH,P25,NAD,OH,Mixed Pallet,1.0000,On Hand,28 Apr 2025
QOH,P26,NAD,OH,Mixed Pallet,1.0000,On Hand,28 Apr 2025
QOH,P265,NAD,OH,Mixed Pallet,1.0000,On Hand,28 Apr 2025
QOH,P267,NAD,OH,Mixed Pallet,1.0000,On Hand,28 Apr 2025
QOH,P27,NAD,OH,Mixed Pallet,1.0000,On Hand,28 Apr 2025
QOH,P271,NAD,OH,Mixed Pallet,0.0000,On Hand,28 Apr 2025
QOH,P272,NAD,OH,Mixed Pallet,1.0000,On Hand,28 Apr 2025
QOH,P273,NAD,OH,Mixed Pallet,1.0000,On Hand,28 Apr 2025
QOH,P274,NAD,OH,Mixed Pallet,0.0000,On Hand,28 Apr 2025
QOH,P275,NAD,OH,Mixed Pallet,1.0000,On Hand,28 Apr 2025
QOH,P276,NAD,OH,Mixed Pallet,1.0000,On Hand,28 Apr 2025
