ItemCode,Description,CategoryDescript,Sum_Qty,StoreCode,LotNumber,Unit_Cost,Value_On_Hand,TextUserField1,TextUserField2,TextUserField3,NumericUserField1,NumericUserField2,NumericUserField3
10+00+10,10+00+10 Greenmaster Liquid,Kiki Trading,40,N021,29042025N0211593,0.0000,0.0000,N021,,,0.00,0.00,0.00
10+00+10A,10+00+10 Greenmaster Liquid,Kiki Trading,60,N019,29042025N0191594,0.0000,0.0000,N019,,,0.00,0.00,0.00
1020X710UKL160-A,Brown Box Liner 160G,Kiki Bags,5000,X022,29042025X0221408,0.0000,0.0000,X022,,,0.00,0.00,0.00
1020X710UKL160G,Brown Box Liner 160G,Kiki Bags,333,Y135,29042025Y1351409,0.0000,0.0000,Y135,,,0.00,0.00,0.00
1020X710UKL175G,Brown Box Liner 175G,Kiki Bags,2200,X029,29042025X0291410,0.0000,0.0000,X029,,,0.00,0.00,0.00
1020X710WTL175-A,White Top Liner 175g,Kiki Bags,1258,Y107,29042025Y1071411,0.0000,0.0000,Y107,,,0.00,0.00,0.00
1020X710WTL175-D,White Top Liner 175g,Kiki Bags,17,Y017,29042025Y0171412,0.0000,0.0000,Y017,,,0.00,0.00,0.00
1020X710WTL175G-F,White Top Liner 175g,Kiki Bags,4600,Y011,29042025Y0111413,0.0000,0.0000,Y011,,,0.00,0.00,0.00
12+04+06,12+04+06 Greenmaster Liquid,Kiki Trading,54,N022,29042025N0221595,0.0000,0.0000,N022,,,0.00,0.00,0.00
12+04+06B,12+04+06 Greenmaster Liquid 17/01/2025,Kiki Trading,60,K039,29042025K0391596,0.0000,0.0000,K039,,,0.00,0.00,0.00
15+00+43,15+00+43 Sportsmaster17/01/25,Kiki Trading,66,X039,29042025X0392080,0.0000,0.0000,X039,,,0.00,0.00,0.00
15+00+43A,15+00+43 Sportsmaster,Kiki Trading,26,N001,29042025N0011598,0.0000,0.0000,N001,,,0.00,0.00,0.00
