WONum,LinkedDocumentNum,Reference,Status,ItemCode,Category,Description,Qty,Year_Mth_Week,Due_Date,Trn,UseQty,ScrapQty,RejectQty
2,,qwerty,NEW,AFUL100,,6009880532575 - BCAA/EAA Pwd 455g Oran Tang,-15.0000,2025-09 Week39,25 Sep 2025,WO,0.0000,0.0000,0.0000
2,,qwerty,NEW,AFUL120,,6009880532582 - BCAA/EAA Pwd 455g Tropic,-21.0000,2025-09 Week39,25 Sep 2025,WO,0.0000,0.0000,0.0000
2,,qwerty,NEW,AFUL160,,6009880532568 - Creatine Pwd 455g,-27.0000,2025-09 Week39,25 Sep 2025,WO,0.0000,0.0000,0.0000
5,,qwerty,NEW,AFUL100,,6009880532575 - BCAA/EAA Pwd 455g Oran Tang,-135.0000,2025-10 Week40,03 Oct 2025,WO,0.0000,0.0000,0.0000
5,,qwerty,NEW,AFUL160,,6009880532568 - Creatine Pwd 455g,-210.0000,2025-10 Week40,03 Oct 2025,WO,0.0000,0.0000,0.0000
5,,qwerty,NEW,AFUL240,,6009880532551 - L-Glutamine Pwd 455g,-6.9000,2025-10 Week40,03 Oct 2025,WO,0.0000,0.0000,0.0000
0,,On Hand,QOH,AFUL100,Vitamins,6009880532575 - BCAA/EAA Pwd 455g Oran Tang,270.5000,0n Hand,09 Oct 2025,OH,0.0000,0.0000,0.0000
0,,On Hand,QOH,AFUL120,Vitamins,6009880532582 - BCAA/EAA Pwd 455g Tropic,109.0000,0n Hand,09 Oct 2025,OH,0.0000,0.0000,0.0000
0,,On Hand,QOH,AFUL160,Vitamins,6009880532568 - Creatine Pwd 455g,193.0000,0n Hand,09 Oct 2025,OH,0.0000,0.0000,0.0000
0,,On Hand,QOH,AFUL240,Vitamins,6009880532551 - L-Glutamine Pwd 455g,-17.1400,0n Hand,09 Oct 2025,OH,0.0000,0.0000,0.0000
0,,On Hand,QOH,AFUL452,,6009880532995 - Pure Whey Protein 1.82Kg Van Choc Variety,-19995.0000,0n Hand,09 Oct 2025,OH,0.0000,0.0000,0.0000
0,,On Hand,QOH,AORG100,,6009880532100 - Virgin Coconut oil 200ml,-9763.0000,0n Hand,09 Oct 2025,OH,0.0000,0.0000,0.0000
0,,On Hand,QOH,BikeKit1,Bicycles,Bike made from Kit,54.0000,0n Hand,09 Oct 2025,OH,0.0000,0.0000,0.0000
0,,On Hand,QOH,IBRCoil,Coil Raw Materials,IBR Coil 686 wide,210.0000,0n Hand,09 Oct 2025,OH,0.0000,0.0000,0.0000
0, ,Min Level,Min,AFUL100,Vitamins,6009880532575 - BCAA/EAA Pwd 455g Oran Tang,0.0000,0n Hand,09 Oct 2025,Min,0.0000,0.0000,0.0000
0, ,Min Level,Min,AFUL120,Vitamins,6009880532582 - BCAA/EAA Pwd 455g Tropic,0.0000,0n Hand,09 Oct 2025,Min,0.0000,0.0000,0.0000
0, ,Min Level,Min,AFUL160,Vitamins,6009880532568 - Creatine Pwd 455g,0.0000,0n Hand,09 Oct 2025,Min,0.0000,0.0000,0.0000
0, ,Min Level,Min,AFUL240,Vitamins,6009880532551 - L-Glutamine Pwd 455g,0.0000,0n Hand,09 Oct 2025,Min,0.0000,0.0000,0.0000
0, ,Min Level,Min,AFUL452,,6009880532995 - Pure Whey Protein 1.82Kg Van Choc Variety,0.0000,0n Hand,09 Oct 2025,Min,0.0000,0.0000,0.0000
0, ,Min Level,Min,AORG100,,6009880532100 - Virgin Coconut oil 200ml,0.0000,0n Hand,09 Oct 2025,Min,0.0000,0.0000,0.0000
0, ,Min Level,Min,BikeKit1,Bicycles,Bike made from Kit,0.0000,0n Hand,09 Oct 2025,Min,0.0000,0.0000,0.0000
0, ,Min Level,Min,IBRCoil,Coil Raw Materials,IBR Coil 686 wide,0.0000,0n Hand,09 Oct 2025,Min,0.0000,0.0000,0.0000
