ItemCode,Description,CategoryDescript,Sum_Qty,StoreCode,Unit_Cost,Local_Curr_Value,TextUserField1,TextUserField2,TextUserField3,NumericUserField1,NumericUserField2,NumericUserField3,ExchRate
149553ZZ,Yellow stroller with green wheels,,-2.0000,FG,255.2300,-510.460000,1,,9.5,30.0000,40.0000,50.0000,1.0000
149553ZZ,Yellow stroller with green wheels,,2.0000,FG,255.2300,510.460000,1,,9.5,30.0000,40.0000,50.0000,1.0000
149553ZZ,Yellow stroller with green wheels,,-2.0000,FG,255.2300,-510.460000,1,,9.5,30.0000,40.0000,50.0000,1.0000
149553ZZ,Yellow stroller with green wheels,,2.0000,FG,255.2300,510.460000,1,,9.5,30.0000,40.0000,50.0000,1.0000
149553ZZ,Yellow stroller with green wheels,,-2.0000,FG,255.2300,-510.460000,1,,9.5,30.0000,40.0000,50.0000,1.0000
149553ZZ,Yellow stroller with green wheels,,-105.0000,WIP,255.2300,-26799.150000,1,,9.5,30.0000,40.0000,50.0000,1.0000
149553ZZ,Yellow stroller with green wheels,,105.0000,FG,255.2300,26799.150000,1,,9.5,30.0000,40.0000,50.0000,1.0000
149553ZZ,Yellow stroller with green wheels,,100.0000,WIP,255.2300,25523.000000,1,,9.5,30.0000,40.0000,50.0000,1.0000
149553ZZ,Yellow stroller with green wheels,,-100.0000,RM,255.2300,-25523.000000,1,,9.5,30.0000,40.0000,50.0000,1.0000
149553ZZ,Yellow stroller with green wheels,,243.0000,RM,255.2300,62020.890000,1,,9.5,30.0000,40.0000,50.0000,1.0000
149554,Orange bicycle,Bicycles,3.0000,WIP,509.6100,1528.830000,001,,11.1,50.0000,60.0000,70.0000,1.0000
149554,Orange bicycle,Bicycles,-3.0000,FG,509.6100,-1528.830000,001,,11.1,50.0000,60.0000,70.0000,1.0000
149554,Orange bicycle,Bicycles,-2.0000,FG,986.5400,-1973.080000,001,,11.1,50.0000,60.0000,70.0000,1.0000
149554,Orange bicycle,Bicycles,-3.0000,FG,509.6100,-1528.830000,001,,11.1,50.0000,60.0000,70.0000,1.0000
149554,Orange bicycle,Bicycles,-30.0000,RM,509.6100,-15288.300000,001,,11.1,50.0000,60.0000,70.0000,1.0000
149554,Orange bicycle,Bicycles,30.0000,FG,509.6100,15288.300000,001,,11.1,50.0000,60.0000,70.0000,1.0000
149554,Orange bicycle,Bicycles,-2.0000,RM,986.5400,-1973.080000,001,,11.1,50.0000,60.0000,70.0000,1.0000
149554,Orange bicycle,Bicycles,2.0000,FG,986.5400,1973.080000,001,,11.1,50.0000,60.0000,70.0000,1.0000
149554,Orange bicycle,Bicycles,1.0000,FG,986.5400,986.540000,001,,11.1,50.0000,60.0000,70.0000,1.0000
149554,Orange bicycle,Bicycles,-1.0000,RM,986.5400,-986.540000,001,,11.1,50.0000,60.0000,70.0000,1.0000
149554,Orange bicycle,Bicycles,2.0000,RM,986.5400,1973.080000,001,,11.1,50.0000,60.0000,70.0000,1.0000
149554,Orange bicycle,Bicycles,2.0000,RM,986.5400,1973.080000,001,,11.1,50.0000,60.0000,70.0000,1.0000
149554,Orange bicycle,Bicycles,171.0000,RM,509.6100,87143.310000,001,,11.1,50.0000,60.0000,70.0000,1.0000
152669,Silver ball with yellow dots,,180.0000,RM,38.4100,6913.800000,,,3.5,20.0000,25.0000,30.0000,1.0000
171226,Sport push chair,Chairs and Cushions,1.0000,RM,125.5681,125.568100,,,7,40.0000,30.0000,20.0000,1.0000
171226,Sport push chair,Chairs and Cushions,120.0000,RM,143.0700,17168.400000,,,7,40.0000,30.0000,20.0000,1.0000
31040,Ultimate chair with wheels,,2.0000,WIP,2058.0446,4116.089200,,,15,40.0000,50.0000,60.0000,1.0000
31040,Ultimate chair with wheels,,-2.0000,FG,2058.0446,-4116.089200,,,15,40.0000,50.0000,60.0000,1.0000
31040,Ultimate chair with wheels,,1.0000,FG,2058.0446,2058.044600,,,15,40.0000,50.0000,60.0000,1.0000
31040,Ultimate chair with wheels,,-1.0000,RM,2058.0446,-2058.044600,,,15,40.0000,50.0000,60.0000,1.0000
31040,Ultimate chair with wheels,,-2.0000,FG,2058.0446,-4116.089200,,,15,40.0000,50.0000,60.0000,1.0000
31040,Ultimate chair with wheels,,-30.0000,RM,2058.0446,-61741.338000,,,15,40.0000,50.0000,60.0000,1.0000
31040,Ultimate chair with wheels,,30.0000,FG,2058.0446,61741.338000,,,15,40.0000,50.0000,60.0000,1.0000
31040,Ultimate chair with wheels,,86.0000,RM,2058.0446,176991.835600,,,15,40.0000,50.0000,60.0000,1.0000
311066,Stroller cover - Blue,Chairs and Cushions,10282.0000,RM,274.1800,2819118.760000,DIS,,3,15.0000,30.0000,5.0000,1.0000
311073,Chair cushion Orange,Chairs and Cushions,100.0000,RM,45.5000,4550.000000,,,5.5,25.0000,30.0000,35.0000,1.0000
6009880532407,YCC- No Sugar Coconut Ice 50g,Vitamins,200.0000,RM,12.3700,2474.000000,195818,,,0.0000,0.0000,0.0000,1.0000
608920,Plastic bike with big wheels,Bicycles,1.0000,RM,189.3939,3587.005681,,,20,40.0000,20.0000,60.0000,0.0528
608920,Plastic bike with big wheels,Bicycles,1.0000,RM,189.3939,3587.005681,,,20,40.0000,20.0000,60.0000,0.0528
608920,Plastic bike with big wheels,Bicycles,1.0000,RM,189.3939,189.393900,,,20,40.0000,20.0000,60.0000,1.0000
608920,Plastic bike with big wheels,Bicycles,163.0000,RM,1791.1610,291959.243000,,,20,40.0000,20.0000,60.0000,1.0000
618127,Green chair with brown piping,Chairs and Cushions,64.0000,RM,426.5600,27299.840000,,,4,50.0000,60.0000,70.0000,1.0000
639795,High chair cover,Chairs and Cushions,1.0000,RM,94.6969,1793.501893,,,1,10.0000,25.0000,10.0000,0.0528
639795,High chair cover,Chairs and Cushions,1.0000,RM,94.6969,1793.501893,,,1,10.0000,25.0000,10.0000,0.0528
639795,High chair cover,Chairs and Cushions,1.0000,RM,94.6969,94.696900,,,1,10.0000,25.0000,10.0000,1.0000
639795,High chair cover,Chairs and Cushions,115.0000,RM,254.0300,29213.450000,,,1,10.0000,25.0000,10.0000,1.0000
639801,Multi purpose wipes,,3.0000,FG,78.9600,236.880000,,,2.5,10.0000,20.0000,10.0000,1.0000
639801,Multi purpose wipes,,-3.0000,RM,78.9600,-236.880000,,,2.5,10.0000,20.0000,10.0000,1.0000
639801,Multi purpose wipes,,100.0000,RM,78.9600,7896.000000,,,2.5,10.0000,20.0000,10.0000,1.0000
643044,Green universal cushions,,211.0000,RM,105.7900,22321.690000,,,1,10.0000,15.0000,20.0000,1.0000
ACItem1,AdditionalCostItem1,,20.0000,RM,125.0000,2500.000000,,,,0.0000,0.0000,0.0000,1.0000
ACItem2,AddCostsItem2,,97.0000,RM,189.4300,18374.710000,,,,0.0000,0.0000,0.0000,1.0000
AddC3,AddCostsItem 3,,22.0000,RM,103.0700,2267.540000,,,,0.0000,0.0000,0.0000,1.0000
AddCost4,Additional Item costs 4,,3.0000,RM,10.0000,30.000000,,,,0.0000,0.0000,0.0000,1.0000
AddCost4,Additional Item costs 4,,46.0000,RM,184.0400,8465.840000,,,,0.0000,0.0000,0.0000,1.0000
AFUL100,6009880532575 - BCAA/EAA Pwd 455g Oran Tang,Vitamins,-10.0000,RM,0.0000,0.000000,,,,0.0000,0.0000,0.0000,1.0000
AFUL100,6009880532575 - BCAA/EAA Pwd 455g Oran Tang,Vitamins,4.5000,RM,10.0000,45.000000,,,,0.0000,0.0000,0.0000,1.0000
AFUL120,6009880532582 - BCAA/EAA Pwd 455g Tropic,Vitamins,-14.0000,RM,0.0000,0.000000,,,,0.0000,0.0000,0.0000,1.0000
AFUL120,6009880532582 - BCAA/EAA Pwd 455g Tropic,Vitamins,94.0000,RM,0.5194,48.823600,,,,0.0000,0.0000,0.0000,1.0000
AFUL160,6009880532568 - Creatine Pwd 455g,Vitamins,-18.0000,RM,0.0000,0.000000,,,,0.0000,0.0000,0.0000,1.0000
AFUL160,6009880532568 - Creatine Pwd 455g,Vitamins,140.0000,RM,510.8801,71523.214000,,,,0.0000,0.0000,0.0000,1.0000
AFUL240,6009880532551 - L-Glutamine Pwd 455g,Vitamins,16.0000,RM,6.8755,110.008000,,,,0.0000,0.0000,0.0000,1.0000
AFUL452,6009880532995 - Pure Whey Protein 1.82Kg Van Choc Variety,,993.0000,RM,-2395.5600,-2378791.080000,,,,0.0000,0.0000,0.0000,1.0000
AORG100,6009880532100 - Virgin Coconut oil 200ml,,1333.0000,RM,225.3600,300404.880000,,,,0.0000,0.0000,0.0000,1.0000
AORG100,6009880532100 - Virgin Coconut oil 200ml,,-1333.0000,RM,146.2100,-194897.930000,,,,0.0000,0.0000,0.0000,1.0000
AORG100,6009880532100 - Virgin Coconut oil 200ml,,1333.0000,RM,-146.2050,-194891.265000,,,,0.0000,0.0000,0.0000,1.0000
BikeKit1,Bike made from Kit,Bicycles,82.0000,RM,1234.5600,101233.920000,,,,0.0000,0.0000,0.0000,1.0000
CON0081.PALL,Cannon Ball zzzz,,20.0000,RM,100.0000,2000.000000,,,,0.0000,0.0000,0.0000,1.0000
DemoCode1,Item for demo purposes,Buckets,200.0000,RM,123.0000,24600.000000,,,,0.0000,0.0000,0.0000,1.0000
ERPNext1,New Item for erpnext test,Bicycles,100.0000,RM,523.6500,52365.000000,,,,0.0000,0.0000,0.0000,1.0000
FrameB1,Blue bike frame for kit,Spares and Accessories,15.0000,RM,234.5600,3518.400000,,,,0.0000,0.0000,0.0000,1.0000
GripB1,Black Grips - Pair,Spares and Accessories,100.0000,RM,45.0000,4500.000000,,,,0.0000,0.0000,0.0000,1.0000
IBR1800,IBR Sheeting 1800 mm long,,100.0000,RM,58.5600,5856.000000,,,,0.0000,0.0000,0.0000,1.0000
IBRCoil,IBR Coil 686 wide,Coil Raw Materials,-3.7500,RM,0.0000,0.000000,,,,0.0000,0.0000,0.0000,1.0000
IBRCoil,IBR Coil 686 wide,Coil Raw Materials,-3.7500,RM,0.0000,0.000000,,,,0.0000,0.0000,0.0000,1.0000
IBRCoil,IBR Coil 686 wide,Coil Raw Materials,-3.7500,RM,0.0000,0.000000,,,,0.0000,0.0000,0.0000,1.0000
IBRCoil,IBR Coil 686 wide,Coil Raw Materials,-3.7500,RM,0.0000,0.000000,,,,0.0000,0.0000,0.0000,1.0000
IBRCoil,IBR Coil 686 wide,Coil Raw Materials,-25.0000,RM,40.2300,-1005.750000,,,,0.0000,0.0000,0.0000,1.0000
IBRCoil,IBR Coil 686 wide,Coil Raw Materials,-25.0000,RM,40.2300,-1005.750000,,,,0.0000,0.0000,0.0000,1.0000
IBRCoil,IBR Coil 686 wide,Coil Raw Materials,-25.0000,RM,40.2300,-1005.750000,,,,0.0000,0.0000,0.0000,1.0000
IBRCoil,IBR Coil 686 wide,Coil Raw Materials,-25.0000,RM,40.2300,-1005.750000,,,,0.0000,0.0000,0.0000,1.0000
IBRCoil,IBR Coil 686 wide,Coil Raw Materials,-25.0000,RM,40.2300,-1005.750000,,,,0.0000,0.0000,0.0000,1.0000
IBRCoil,IBR Coil 686 wide,Coil Raw Materials,-25.0000,RM,40.2300,-1005.750000,,,,0.0000,0.0000,0.0000,1.0000
IBRCoil,IBR Coil 686 wide,Coil Raw Materials,-25.0000,RM,40.2300,-1005.750000,,,,0.0000,0.0000,0.0000,1.0000
IBRCoil,IBR Coil 686 wide,Coil Raw Materials,-25.0000,RM,40.2300,-1005.750000,,,,0.0000,0.0000,0.0000,1.0000
IBRCoil,IBR Coil 686 wide,Coil Raw Materials,-1.2500,RM,40.2300,-50.287500,,,,0.0000,0.0000,0.0000,1.0000
IBRCoil,IBR Coil 686 wide,Coil Raw Materials,201.2500,RM,40.2300,8096.287500,,,,0.0000,0.0000,0.0000,1.0000
IBRSPEC,IBR Sheeting - Special Size,,3.0000,FG,1.2500,3.750000,,,,0.0000,0.0000,0.0000,1.0000
IBRSPEC,IBR Sheeting - Special Size,,3.0000,FG,1.2500,3.750000,,,,0.0000,0.0000,0.0000,1.0000
IBRSPEC,IBR Sheeting - Special Size,,3.0000,FG,1.2500,3.750000,,,,0.0000,0.0000,0.0000,1.0000
IBRSPEC,IBR Sheeting - Special Size,,3.0000,FG,1.2500,3.750000,,,,0.0000,0.0000,0.0000,1.0000
IBRSPEC,IBR Sheeting - Special Size,,20.0000,FG,1.2500,25.000000,,,,0.0000,0.0000,0.0000,1.0000
IBRSPEC,IBR Sheeting - Special Size,,20.0000,FG,1.2500,25.000000,,,,0.0000,0.0000,0.0000,1.0000
IBRSPEC,IBR Sheeting - Special Size,,20.0000,FG,1.2500,25.000000,,,,0.0000,0.0000,0.0000,1.0000
IBRSPEC,IBR Sheeting - Special Size,,20.0000,FG,1.2500,25.000000,,,,0.0000,0.0000,0.0000,1.0000
IBRSPEC,IBR Sheeting - Special Size,,20.0000,FG,1.2500,25.000000,,,,0.0000,0.0000,0.0000,1.0000
IBRSPEC,IBR Sheeting - Special Size,,20.0000,FG,1.2500,25.000000,,,,0.0000,0.0000,0.0000,1.0000
IBRSPEC,IBR Sheeting - Special Size,,20.0000,FG,1.2500,25.000000,,,,0.0000,0.0000,0.0000,1.0000
IBRSPEC,IBR Sheeting - Special Size,,20.0000,FG,1.2500,25.000000,,,,0.0000,0.0000,0.0000,1.0000
IBRSPEC,IBR Sheeting - Special Size,,20.0000,FG,1.2500,25.000000,,,,0.0000,0.0000,0.0000,1.0000
IBRSPEC,IBR Sheeting - Special Size,,-1.0000,FG,50.2875,-50.287500,,,,0.0000,0.0000,0.0000,1.0000
IBRSPEC,IBR Sheeting - Special Size,,-1.0000,RM,50.2875,-50.287500,,,,0.0000,0.0000,0.0000,1.0000
IBRSPEC,IBR Sheeting - Special Size,,1.0000,FG,50.2875,50.287500,,,,0.0000,0.0000,0.0000,1.0000
IBRSPEC,IBR Sheeting - Special Size,,1.0000,RM,50.2875,50.287500,,,,0.0000,0.0000,0.0000,1.0000
IBRSPEC,IBR Sheeting - Special Size,,143.0000,RM,185.2900,26496.470000,,,,0.0000,0.0000,0.0000,1.0000
ItemT1,Testing Item 1 for quantities,Bicycles,120.0000,RM,30.0000,3600.000000,,,,0.0000,0.0000,0.0000,1.0000
ItemT2,Testing Item 2 for quantities,,99.0000,RM,416.3500,41218.650000,,,,0.0000,0.0000,0.0000,1.0000
ITM3Test,Testing Item 3 for quantities,,88.0000,RM,68.6300,6039.440000,,,,0.0000,0.0000,0.0000,1.0000
ITM4Test,Item 4 Testing Quantities,,225.0000,RM,1000.0000,225000.000000,,,,0.0000,0.0000,0.0000,1.0000
ITM5Test,Item 5 Testing Quantities,,988.0000,RM,250.0000,247000.000000,,,,0.0000,0.0000,0.0000,1.0000
SeatR,Red Seat,Spares and Accessories,2.0000,RM,5.0000,10.000000,,,,0.0000,0.0000,0.0000,1.0000
SeatR,Red Seat,Spares and Accessories,188.0000,RM,190.0000,35720.000000,,,,0.0000,0.0000,0.0000,1.0000
TEST-ITEM-007,Test Item for API7 Sync,,-11.0000,RM,89.6300,-985.930000,,,,0.0000,0.0000,0.0000,1.0000
